id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0,4993,,,,,,,,,,,,
0.14,40,19,21,,3931.3293,4362.6895,1,1,0,,,1,0
0.15,379,154,219,,6060.2559,7054.2964,1,1,0,,,1,0
0.17,22,2,19,,2646.615,1884.6711,7,18.736841,1,,,0,1
0.17.15,12,0,11,32.56163,,16270.82,,1,1,0,1,,
0.20,8,4,4,,142.83786,683.56293,45.25,31.5,0,,,1,0
0.21,22,11,10,,1065.2783,1008.7973,22.545454,27.1,0,,,0,1
0.21.15,9,7,2,186.68498,18193.248,12862.903,1,1,2,0,1,0,0
0.22,7,1,6,,429.25034,1028.115,9,9.666667,1,,,1,1
0.23,14,5,8,,846.29858,1631.473,10.4,8.75,1,,,1,0
0.24,74,15,59,,1281.1937,1593.8214,10.133333,17.898306,1,,,1,1
0.24.15,28,2,26,1569.1588,4150.1514,11668.143,1,1,1,1,1,1,0
0.24.34,5,2,3,113.437,1994.9861,343.44406,11,12.333333,1,0,1,0,1
0.24.48,11,1,10,251.61581,980.32349,1449.6761,2,9.8000002,1,0,1,1,1
0.26,8,4,3,,349.43369,951.22223,28.75,35.666668,0,,,1,1
0.27,10,8,2,,313.93338,704.71265,20.25,24,2,,,1,1
0.28,23,17,6,,811.95819,2386.5071,32.117645,9,2,,,1,0
0.28.15,6,6,0,309.32416,9550.6055,,1,,2,0,1,,
0.28.34,5,3,2,1380.7783,340.34692,379.15521,50,28,0,1,1,1,0
0.29,171,102,68,,1211.8705,1864.9774,19.088236,14.220589,0,,,1,0
0.29.15,40,22,18,615.25543,11360.899,10736.244,1,1,0,1,1,0,0
0.29.21,12,6,6,1536.9106,1094.9933,1110.0692,11.166667,20,0,1,1,1,1
0.29.23,5,3,1,4071.3796,870.81189,1219.6106,14,10,2,1,1,1,0
0.29.31,9,6,3,1884.3459,2616.0615,4012.604,13.333333,2.3333333,2,1,1,1,0
0.29.32,10,10,0,663.63776,1902.1335,,14.6,,2,1,1,,
0.29.33,22,17,5,249.33759,911.39685,2761.8208,23.705883,7.5999999,2,0,1,1,0
0.29.33.15,10,7,3,11.179028,10622.757,7496.0366,1,1,2,0,1,0,0
0.29.33.34,5,4,1,-559.26465,687.82043,5409.0967,10.25,1,2,0,0,1,0
0.29.34,30,18,12,832.80121,1561.4403,1664.4218,14.444445,18,0,1,1,1,1
0.29.34.15,16,11,5,344.30914,10943.74,10835.779,1,1,2,0,1,0,0
0.29.48,10,6,4,914.47009,944.86572,2196.0586,12.333333,22.25,0,1,1,1,1
0.29.48.34,6,4,2,657.75177,1082.9496,305.68005,28.5,21,2,1,1,0,0
0.30,20,7,12,,1341.2416,626.56635,18.285715,9.083333,1,,,0,0
0.31,58,32,26,,2288.165,3654.1279,11.9375,12.461538,0,,,1,1
