id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif,id_labels
0,4993,,,,,,,,,,,,,0
0.17,22,2,19,,2646.615,1884.6711,7,18.736841,1,,,0,1,"0.Technical, information technology, science related professionals"
0.17.15,12,0,11,32.56163,,16270.82,,1,1,0,1,,,"0.Technical, information technology, science related professionals.Managing directors, managers"
0.20,8,4,4,,142.83786,683.56293,45.25,31.5,0,,,1,0,"0.Educators, teachers"
0.20.15,3,3,0,123.00426,14355.241,,1,,2,0,1,,,"0.Educators, teachers.Managing directors, managers"
0.21,22,11,10,,1065.2783,1008.7973,22.545454,27.1,0,,,0,1,"0.Business type, legal and social sciences professionals"
0.21.15,9,7,2,186.68498,18193.248,12862.903,1,1,2,0,1,0,0,"0.Business type, legal and social sciences professionals.Managing directors, managers"
0.22,7,1,6,,429.25034,1028.115,9,9.666667,1,,,1,1,"0.Culture, sports, arts and religion professionals"
0.22.15,3,0,3,284.00107,,9125.25,,1,1,0,1,,,"0.Culture, sports, arts and religion professionals.Managing directors, managers"
0.23,14,5,8,,846.29858,1631.473,10.4,8.75,1,,,1,0,0.Other highly qualified executives
0.23.15,3,1,2,319.06067,12091.389,8296.5664,1,1,1,0,1,0,0,"0.Other highly qualified executives.Managing directors, managers"
0.24,74,15,59,,1281.1937,1593.8214,10.133333,17.898306,1,,,1,1,0.Technicians and technical professionals
0.24.15,28,2,26,1569.1588,4150.1514,11668.143,1,1,1,1,1,1,0,"0.Technicians and technical professionals.Managing directors, managers"
0.24.17,4,0,4,3807.5386,,970.20984,,30.25,1,1,1,,,"0.Technicians and technical professionals.Technical, information technology, science related professionals"
0.24.17.15,4,0,4,556.63342,,29206.67,,1,1,1,1,,,"0.Technicians and technical professionals.Technical, information technology, science related professionals.Managing directors, managers"
0.24.34,5,2,3,113.437,1994.9861,343.44406,11,12.333333,1,0,1,0,1,0.Technicians and technical professionals.Commercial and catering occupations
0.24.34.15,3,1,2,292.74237,7047.6494,11187.874,1,1,1,0,1,1,0,"0.Technicians and technical professionals.Commercial and catering occupations.Managing directors, managers"
0.26,8,4,3,,349.43369,951.22223,28.75,35.666668,0,,,1,1,0.Health professionals
0.26.15,3,1,1,150.78503,17584.307,9435.4834,1,1,0,0,1,0,0,"0.Health professionals.Managing directors, managers"
0.28,23,17,6,,811.95819,2386.5071,32.117645,9,2,,,1,0,"0.Social health care, labour market services professionals"
0.28.15,6,6,0,309.32416,9550.6055,,1,,2,0,1,,,"0.Social health care, labour market services professionals.Managing directors, managers"
0.28.34,5,3,2,1380.7783,340.34692,379.15521,50,28,0,1,1,1,0,"0.Social health care, labour market services professionals.Commercial and catering occupations"
0.28.34.15,4,2,2,137.21397,16761.406,11943.508,1,1,0,0,1,0,0,"0.Social health care, labour market services professionals.Commercial and catering occupations.Managing directors, managers"
0.29,171,102,68,,1211.8705,1864.9774,19.088236,14.220589,0,,,1,0,"0.Business related services administrators, agents"
0.29.15,40,22,18,615.25543,11360.899,10736.244,1,1,0,1,1,0,0,"0.Business related services administrators, agents.Managing directors, managers"
0.29.21,12,6,6,1536.9106,1094.9933,1110.0692,11.166667,20,0,1,1,1,1,"0.Business related services administrators, agents.Business type, legal and social sciences professionals"
0.29.21.15,4,2,2,332.11377,12771.098,36668.289,1,1,0,0,1,1,0,"0.Business related services administrators, agents.Business type, legal and social sciences professionals.Managing directors, managers"
0.29.24,4,1,3,59.276726,317.5871,1623.3711,16,11,1,0,1,1,0,"0.Business related services administrators, agents.Technicians and technical professionals"
0.29.24.15,3,0,3,1554.3134,,14370.033,,1,1,1,1,,,"0.Business related services administrators, agents.Technicians and technical professionals.Managing directors, managers"
0.29.31,9,6,3,1884.3459,2616.0615,4012.604,13.333333,2.3333333,2,1,1,1,0,"0.Business related services administrators, agents.Other administrators"
0.29.31.15,3,1,2,1094.2081,9677.4189,11937.523,1,1,1,1,1,1,0,"0.Business related services administrators, agents.Other administrators.Managing directors, managers"
0.29.32,10,10,0,663.63776,1902.1335,,14.6,,2,1,1,,,"0.Business related services administrators, agents.Office clerks"
0.29.32.15,4,4,0,234.43018,9750.2822,,1,,2,0,1,,,"0.Business related services administrators, agents.Office clerks.Managing directors, managers"
0.29.33,22,17,5,249.33759,911.39685,2761.8208,23.705883,7.5999999,2,0,1,1,0,"0.Business related services administrators, agents.Customer services occupations"
0.29.33.15,10,7,3,11.179028,10622.757,7496.0366,1,1,2,0,1,0,0,"0.Business related services administrators, agents.Customer services occupations.Managing directors, managers"
0.29.33.34,5,4,1,-559.26465,687.82043,5409.0967,10.25,1,2,0,0,1,0,"0.Business related services administrators, agents.Customer services occupations.Commercial and catering occupations"
0.29.33.34.15,4,3,1,752.29022,7604.0459,7594.0181,1,1,2,1,1,0,0,"0.Business related services administrators, agents.Customer services occupations.Commercial and catering occupations.Managing directors, managers"
0.29.34,30,18,12,832.80121,1561.4403,1664.4218,14.444445,18,0,1,1,1,1,"0.Business related services administrators, agents.Commercial and catering occupations"
0.29.34.15,16,11,5,344.30914,10943.74,10835.779,1,1,2,0,1,0,0,"0.Business related services administrators, agents.Commercial and catering occupations.Managing directors, managers"
0.29.48,10,6,4,914.47009,944.86572,2196.0586,12.333333,22.25,0,1,1,1,1,"0.Business related services administrators, agents.Occupations not requiring qualifications"
0.29.48.34,6,4,2,657.75177,1082.9496,305.68005,28.5,21,2,1,1,0,0,"0.Business related services administrators, agents.Occupations not requiring qualifications.Commercial and catering occupations"
0.29.48.34.15,4,3,1,178.10181,16453.039,7136.4673,1,1,2,0,1,0,0,"0.Business related services administrators, agents.Occupations not requiring qualifications.Commercial and catering occupations.Managing directors, managers"
0.29.50,4,1,3,9.5510979,1074.973,833.85602,3,16.333334,1,0,1,0,1,"0.Business related services administrators, agents"
0.29.50.15,3,0,3,272.92557,,6595.7422,,1,1,0,1,,,"0.Business related services administrators, agents..Managing directors, managers"
0.30,20,7,12,,1341.2416,626.56635,18.285715,9.083333,1,,,0,0,"0.Arts, cultural, sports and religious professionals"
0.30.15,4,1,3,248.08713,6450,5347.6641,1,1,1,0,1,0,0,"0.Arts, cultural, sports and religious professionals.Managing directors, managers"
0.30.29,4,2,2,53.681183,469.93842,4628.0229,10,12,0,0,1,1,1,"0.Arts, cultural, sports and religious professionals.Business related services administrators, agents"
0.30.29.15,4,2,2,40.026184,10951.59,5358.8711,1,1,0,0,1,0,0,"0.Arts, cultural, sports and religious professionals.Business related services administrators, agents.Managing directors, managers"
0.31,58,32,26,,2288.165,3654.1279,11.9375,12.461538,0,,,1,1,0.Other administrators
0.31.15,8,3,5,181.82527,13261.47,12507.393,1,1,1,0,1,0,0,"0.Other administrators.Managing directors, managers"
0.31.34,10,5,5,-748.40594,606.43872,2511.0073,21.799999,14.8,0,0,0,1,0,0.Other administrators.Commercial and catering occupations
0.31.34.15,6,3,3,133.84381,6051.7202,9832.5,1,1,0,0,1,1,0,"0.Other administrators.Commercial and catering occupations.Managing directors, managers"
0.31.48,9,4,5,-2364.0991,471.49893,1849.2562,12.75,4,0,0,0,1,0,0.Other administrators.Occupations not requiring qualifications
0.31.48.15,6,3,3,787.55798,6653.4907,9599.2832,1,1,0,1,1,1,0,"0.Other administrators.Occupations not requiring qualifications.Managing directors, managers"
0.32,181,115,64,,1720.2089,1970.1687,9.6869564,10.546875,2,,,1,1,0.Office clerks
0.32.15,32,15,17,621.39703,6281.2275,8135.8481,1,1,0,1,1,1,0,"0.Office clerks.Managing directors, managers"
0.32.29,25,19,6,1374.8883,1969.3173,2347.8826,17.210526,8.5,2,1,1,1,0,"0.Office clerks.Business related services administrators, agents"
