id,value,wagedif,relevant_wagedif_abs,wage_sign,gender_dom,relevant_wagedif_rel
0.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas,79,248.87659,1,1,0,3
0.Technikusok/muszaki.Fem/villamosipari,72,68.444458,0,1,1,1
0.Szolgaltatasi.Technikusok/muszaki,57,640.79028,1,1,1,1
0.Keresk/vendeglatas.Gazdalkodas/jog/tarstud,172,1119.5295,1,1,0,1
0.Kepesitest nem igenylo.Egyeb ipari/epitoipari.Kepesitest nem igenylo,74,122.80605,0,1,1,2
0.Osszeszerelok.Feldolgozoip gepkezelok.Osszeszerelok,88,205.63347,0,1,0,3
0.Gazdalkodas/jog/tarstud,1222,,1,1,2,1
0.Keresk/vendeglatas.Ugyfelkapcsolati.Uzleti ugyintezok,83,465.34787,1,1,2,3
0.Feldolgozoip gepkezelok.Kepesitest nem igenylo.Osszeszerelok,66,404.6539,1,1,0,3
0.Egyeb ugyintezok.M_kepz ugyintezok,75,626.72607,1,1,2,1
0.Fem/villamosipari.Feldolgozoip gepkezelok.Fem/villamosipari,63,360.32855,1,1,1,3
0.Feldolgozoip gepkezelok.Fem/villamosipari,214,360.32855,1,1,1,1
0.Uzleti ugyintezok.Szolgaltatasi,82,43.992531,0,1,0,1
0.Fem/villamosipari.Feldolgozoip gepkezelok,241,223.14841,0,1,1,1
0.Kepesitest nem igenylo.Keresk/vendeglatas.Uzleti ugyintezok,66,900.1441,1,1,2,3
0.Feldolgozoip gepkezelok.Szolgaltatasi,73,309.53812,1,1,1,1
0.Irodai/ugyviteli.Uzleti ugyintezok,671,369.56842,1,1,2,1
0.Keresk/vendeglatas.Osszeszerelok.Kepesitest nem igenylo,80,8.6834583,0,1,0,2
0.Keresk/vendeglatas.Vezetok/szakmai iranyitok.Keresk/vendeglatas,259,91.73822,0,1,0,2
0.Osszeszerelok.Szolgaltatasi,66,251.54256,1,1,1,1
0.Irodai/ugyviteli.Uzleti ugyintezok.Irodai/ugyviteli,144,210.85149,0,1,2,2
0.Keresk/vendeglatas.Osszeszerelok,322,328.75403,1,1,2,1
0.Epitoipari.Jarmuvez/mobil gepkez,60,368.98779,1,1,1,1
0.Helyhez kotott gepkez.Kepesitest nem igenylo,62,47.360947,0,1,1,1
0.Epitoipari.Keresk/vendeglatas,82,296.24075,1,1,1,1
0.Epitoipari.Osszeszerelok,57,519.55933,1,1,1,1
0.Fem/villamosipari.Keresk/vendeglatas,152,158.59062,0,1,1,1
0.Kult/sport/muv/vallas (f),288,,1,1,0,1
0.Fem/villamosipari,2667,,1,1,1,1
0.Egyeb ugyintezok.Kepesitest nem igenylo,57,16.84078,0,1,0,1
0.Feldolgozoip gepkezelok.Osszeszerelok,293,205.63347,0,1,0,1
0.Kepesitest nem igenylo.Osszeszerelok.Kepesitest nem igenylo,269,8.6834583,0,1,0,2
0.Uzleti ugyintezok.Keresk/vendeglatas,304,6.1017447,0,1,2,1
0.Szolgaltatasi.Fegyveres (k),73,.50389886,0,1,1,1
0.Egyeb ugyintezok.Muszaki/inform/termtud,61,1738.8882,1,1,1,1
0.Feldolgozoip gepkezelok.Osszeszerelok.Feldolgozoip gepkezelok,65,164.8671,0,1,0,2
0.Jarmuvez/mobil gepkez.Keresk/vendeglatas,63,138.93083,0,1,1,1
0.Kepesitest nem igenylo.Irodai/ugyviteli,285,350.60614,1,1,2,1
0.Konnyuipari.Fem/villamosipari,77,208.64632,0,1,1,1
0.Uzleti ugyintezok.Egyeb ugyintezok,228,353.51776,1,1,2,1
0.Uzleti ugyintezok.Gazdalkodas/jog/tarstud,599,616.22559,1,1,2,1
0.Uzleti ugyintezok.Keresk/vendeglatas.Uzleti ugyintezok,64,900.1441,1,1,2,3
0.Fem/villamosipari.Epitoipari,147,120.40411,0,1,1,1
0.Ugyfelkapcsolati.Gazdalkodas/jog/tarstud,71,873.37366,1,1,2,1
0.Vezetok/szakmai iranyitok.Keresk/vendeglatas,97,91.73822,0,1,0,1
0.Jarmuvez/mobil gepkez.Kepesitest nem igenylo,152,15.750889,0,1,1,1
0.Keresk/vendeglatas.Oktatok/pedagodusok,127,934.50049,1,1,2,1
0.Osszeszerelok,1972,,1,1,0,1
0.Fem/villamosipari.Osszeszerelok,211,215.67421,0,1,1,1
0.M_kepz ugyintezok.Gazdalkodas/jog/tarstud,93,357.21707,1,1,2,1
0.Kepesitest nem igenylo.Irodai/ugyviteli.Kepesitest nem igenylo,70,60.727482,0,1,2,2
0.Gazdalkodas/jog/tarstud.Uzleti ugyintezok,343,334.79681,1,1,2,1
0.Vezetok/szakmai iranyitok,947,,1,1,1,1
0.Muszaki/inform/termtud.Technikusok/muszaki,200,267.70187,1,1,1,1
0.Osszeszerelok.Fem/villamosipari,177,424.58206,1,1,1,1
0.Fegyveres (k),411,,1,1,1,1
0.Fem/villamosipari.Epitoipari.Fem/villamosipari,58,430.00369,1,1,1,3
0.Kepesitest nem igenylo.Keresk/vendeglatas,1068,248.87659,1,1,0,1
0.Konnyuipari.Kepesitest nem igenylo.Konnyuipari,56,115.60252,0,1,1,2
0.Konnyuipari.Osszeszerelok,73,507.61618,1,1,0,1
0,55576,,,,,1
0.Feldolgozoip gepkezelok.Osszeszerelok.Kepesitest nem igenylo,81,8.6834583,0,1,0,2
0.Uzleti ugyintezok.Ugyfelkapcsolati,388,-121.77542,0,0,2,1
0.Keresk/vendeglatas.Irodai/ugyviteli.Keresk/vendeglatas,132,272.93503,1,1,2,2
0.Muszaki/inform/termtud.Technikusok/muszaki.Muszaki/inform/termtud,86,870.16498,1,1,1,3
0.Elelmiszer-ipari,1066,,1,1,1,1
0.Osszeszerelok.Feldolgozoip gepkezelok.Kepesitest nem igenylo,73,-5.1177282,0,0,1,2
0.Gazdalkodas/jog/tarstud.Irodai/ugyviteli,90,509.72012,1,1,2,1
0.Keresk/vendeglatas.Osszeszerelok.Keresk/vendeglatas,78,214.45697,0,1,2,2
0.Technikusok/muszaki.Irodai/ugyviteli,98,210.07239,0,1,0,1
0.Kepesitest nem igenylo.Elelmiszer-ipari,239,265.75912,1,1,1,1
0.Kezmuipari,161,,1,1,0,1
0.Keresk/vendeglatas.Egeszsegugyi,89,431.25601,1,1,2,1
0.Feldolgozoip gepkezelok.Keresk/vendeglatas.Kepesitest nem igenylo,57,64.55645,0,1,0,2
0.Uzleti ugyintezok.Irodai/ugyviteli.Uzleti ugyintezok,165,369.56842,1,1,2,3
0.Technikusok/muszaki.Ugyfelkapcsolati,58,415.05582,1,1,0,1
0.Ugyfelkapcsolati.Keresk/vendeglatas,316,97.111343,0,1,2,1
0.Egyeb ugyintezok.Irodai/ugyviteli,157,-240.02193,0,0,2,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Feldolgozoip gepkezelok,79,449.80533,1,1,1,3
0.Irodai/ugyviteli,2989,,1,1,2,1
0.Irodai/ugyviteli.Uzleti ugyintezok.Gazdalkodas/jog/tarstud,81,616.22559,1,1,2,3
0.Uzleti ugyintezok.Technikusok/muszaki,123,389.71616,1,1,0,1
0.Konnyuipari.Feldolgozoip gepkezelok,157,429.23303,1,1,0,1
0.Irodai/ugyviteli.Egeszsegugyi,86,163.14226,0,1,2,1
0.Szolgaltatasi.Jarmuvez/mobil gepkez,81,212.36998,0,1,1,1
0.Keresk/vendeglatas.Feldolgozoip gepkezelok.Keresk/vendeglatas,72,221.877,0,1,2,2
0.Irodai/ugyviteli.Szolgaltatasi,67,243.21149,1,1,2,1
0.Keresk/vendeglatas.M_kepz ugyintezok,65,1788.3215,1,1,2,1
0.Technikusok/muszaki.Vezetok/szakmai iranyitok,91,331.20688,1,1,1,1
0.Szocialis gondozas,325,,1,1,2,1
0.Kepesitest nem igenylo.Feldolgozoip gepkezelok,630,449.80533,1,1,1,1
0.Elelmiszer-ipari.Feldolgozoip gepkezelok,80,222.07269,0,1,1,1
0.Keresk/vendeglatas.Elelmiszer-ipari,135,271.17917,1,1,0,1
0.Uzleti ugyintezok,3906,,1,1,2,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas,725,248.87659,1,1,0,3
0.Fem/villamosipari.Szolgaltatasi,99,75.602783,0,1,1,1
0.Fem/villamosipari.Kepesitest nem igenylo.Fem/villamosipari,144,403.02008,1,1,1,3
0.Keresk/vendeglatas.Kepesitest nem igenylo.Irodai/ugyviteli,77,350.60614,1,1,2,3
0.Kepesitest nem igenylo,9577,,1,1,1,1
0.Szolgaltatasi.Kepesitest nem igenylo,390,57.190861,0,1,1,1
0.Osszeszerelok.Kepesitest nem igenylo,571,8.6834583,0,1,0,1
0.Kepesitest nem igenylo.Fem/villamosipari.Kepesitest nem igenylo,177,29.232962,0,1,1,2
0.Oktatok/pedagodusok,1247,,1,1,2,1
0.Kepesitest nem igenylo.Uzleti ugyintezok,312,700.8631,1,1,1,1
0.Egyeb ipari/epitoipari.Kepesitest nem igenylo,56,122.80605,0,1,1,1
0.Muv/kult/sport/vallas,369,,1,1,0,1
0.Keresk/vendeglatas.Szolgaltatasi.Kepesitest nem igenylo,78,57.190861,0,1,1,2
0.Muv/kult/sport/vallas.Kult/sport/muv/vallas (f),80,164.43864,0,1,0,1
0.Keresk/vendeglatas.Uzleti ugyintezok.Keresk/vendeglatas,193,6.1017447,0,1,2,2
0.Keresk/vendeglatas.Ugyfelkapcsolati,762,355.26559,1,1,2,1
0.Kepesitest nem igenylo.Erdo/vadgazdalk/halaszat,87,86.435432,0,1,1,1
0.Egeszsegugyi,616,,1,1,2,1
0.Egyeb ugyintezok.Gazdalkodas/jog/tarstud,92,605.79669,1,1,2,1
0.Irodai/ugyviteli.Keresk/vendeglatas,216,272.93503,1,1,2,1
0.Keresk/vendeglatas.Szolgaltatasi,506,204.20065,0,1,0,1
0.Kepesitest nem igenylo.Mzg,196,236.83958,0,1,1,1
0.Feldolgozoip gepkezelok.Epitoipari,67,16.43199,0,1,1,1
0.Egyeb ugyintezok.Keresk/vendeglatas,80,270.40646,1,1,2,1
0.Kepesitest nem igenylo.Mzg.Kepesitest nem igenylo,122,57.312977,0,1,1,2
0.Kepesitest nem igenylo.Osszeszerelok.Feldolgozoip gepkezelok,72,164.8671,0,1,0,2
0.Feldolgozoip gepkezelok.Kepesitest nem igenylo.Feldolgozoip gepkezelok,97,449.80533,1,1,1,3
0.Technikusok/muszaki,1922,,1,1,1,1
0.Egeszsegugyi.Egeszsegugyi (f),57,786.16071,1,1,2,1
0.Uzleti ugyintezok.Ugyfelkapcsolati.Uzleti ugyintezok,86,465.34787,1,1,2,3
