id,value,wagedif,relevant_wagedif_abs,wage_sign,gender_dom,relevant_wagedif_rel
0,55576,,,,,1
0.11,70,,1,1,1,1
0.12,411,,1,1,1,1
0.12.35,251,-511.69522,0,0,1,1
0.13,160,,1,1,1,1
0.15,947,,1,1,1,1
0.15.29,101,337.2934,1,1,0,1
0.15.34,97,91.73822,0,1,0,1
0.17,1453,,1,1,1,1
0.17.15,119,333.26663,1,1,1,1
0.17.21,57,554.50098,1,1,1,1
0.17.23,117,334.07806,1,1,1,1
0.17.24,200,267.70187,1,1,1,1
0.17.24.17,86,870.16498,1,1,1,3
0.17.29,59,314.95038,1,1,1,1
0.18,482,,1,1,2,1
0.19,64,,1,1,2,1
0.20,1247,,1,1,2,1
0.20.32,75,-41.337429,0,0,2,1
0.21,1222,,1,1,2,1
0.21.15,102,369.51068,1,1,0,1
0.21.23,108,383.63885,1,1,2,1
0.21.29,343,334.79681,1,1,2,1
0.21.29.21,85,616.22559,1,1,2,3
0.21.32,90,509.72012,1,1,2,1
0.21.34,60,63.531883,0,1,0,1
0.22,288,,1,1,0,1
0.23,583,,1,1,2,1
0.23.21,93,357.21707,1,1,2,1
0.23.29,74,327.06641,1,1,2,1
0.24,1922,,1,1,1,1
0.24.15,91,331.20688,1,1,1,1
0.24.17,595,870.16498,1,1,1,1
0.24.17.24,118,267.70187,1,1,1,2
0.24.29,117,454.74747,1,1,0,1
0.24.31,58,380.87766,1,1,0,1
0.24.32,98,210.07239,0,1,0,1
0.24.33,58,415.05582,1,1,0,1
0.24.34,89,266.47131,1,1,0,1
0.24.40,72,68.444458,0,1,1,1
0.24.48,98,-126.27296,0,0,1,1
0.26,616,,1,1,2,1
0.26.18,57,786.16071,1,1,2,1
0.27,199,,1,1,2,1
0.28,325,,1,1,2,1
0.29,3906,,1,1,2,1
0.29.15,200,240.74156,0,1,0,1
0.29.17,86,966.83423,1,1,1,1
0.29.21,599,616.22559,1,1,2,1
0.29.21.23,60,383.63885,1,1,2,2
0.29.21.29,154,334.79681,1,1,2,2
0.29.23,162,458.07889,1,1,2,1
0.29.24,123,389.71616,1,1,0,1
0.29.31,228,353.51776,1,1,2,1
0.29.31.29,62,604.98505,1,1,2,3
0.29.32,538,210.85149,0,1,2,1
0.29.32.29,165,369.56842,1,1,2,3
0.29.33,388,-121.77542,0,0,2,1
0.29.33.29,86,465.34787,1,1,2,3
0.29.34,304,6.1017447,0,1,2,1
0.29.34.29,64,900.1441,1,1,2,3
0.29.35,82,43.992531,0,1,0,1
0.29.48,151,-95.994537,0,0,0,1
0.30,369,,1,1,0,1
0.30.22,80,164.43864,0,1,0,1
0.31,1259,,1,1,2,1
0.31.17,61,1738.8882,1,1,1,1
0.31.21,92,605.79669,1,1,2,1
0.31.23,75,626.72607,1,1,2,1
0.31.29,240,604.98505,1,1,2,1
0.31.32,157,-240.02193,0,0,2,1
0.31.33,76,435.66885,1,1,2,1
0.31.34,80,270.40646,1,1,2,1
0.31.48,57,16.84078,0,1,0,1
0.32,2989,,1,1,2,1
0.32.15,127,225.01297,0,1,2,1
0.32.17,93,1221.7345,1,1,0,1
0.32.20,57,915.96594,1,1,2,1
0.32.21,190,960.80066,1,1,2,1
0.32.23,96,656.91144,1,1,2,1
0.32.24,98,713.65997,1,1,0,1
0.32.26,86,163.14226,0,1,2,1
0.32.29,671,369.56842,1,1,2,1
0.32.29.21,81,616.22559,1,1,2,3
0.32.29.32,144,210.85149,0,1,2,2
0.32.31,226,356.2066,1,1,2,1
0.32.33,202,317.94257,1,1,2,1
0.32.34,216,272.93503,1,1,2,1
0.32.35,67,243.21149,1,1,2,1
0.32.48,169,60.727482,0,1,2,1
0.33,1766,,1,1,2,1
0.33.21,71,873.37366,1,1,2,1
0.33.24,98,720.37665,1,1,0,1
0.33.29,315,465.34787,1,1,2,1
0.33.29.32,61,210.85149,0,1,2,2
0.33.31,84,288.44452,1,1,2,1
0.33.32,238,150.1003,0,1,2,1
0.33.34,316,97.111343,0,1,2,1
0.33.35,59,347.46436,1,1,0,1
0.33.48,132,40.040398,0,1,2,1
0.34,9998,,1,1,2,1
0.34.15,606,226.72206,0,1,0,1
0.34.15.34,259,91.73822,0,1,0,2
0.34.15.34.15,67,226.72206,0,1,0,3
0.34.17,74,2960.6299,1,1,1,1
0.34.20,127,934.50049,1,1,2,1
0.34.21,172,1119.5295,1,1,0,1
0.34.23,65,1788.3215,1,1,2,1
0.34.24,220,649.79871,1,1,1,1
0.34.26,89,431.25601,1,1,2,1
0.34.28,58,263.99841,1,1,2,1
0.34.29,866,900.1441,1,1,2,1
0.34.29.15,59,240.74156,0,1,0,2
0.34.29.32,90,210.85149,0,1,2,2
0.34.29.33,105,-121.77542,0,0,2,2
0.34.29.34,193,6.1017447,0,1,2,2
0.34.31,224,574.3653,1,1,2,1
0.34.32,667,301.02228,1,1,2,1
0.34.32.29,89,369.56842,1,1,2,3
0.34.32.34,132,272.93503,1,1,2,2
0.34.33,762,355.26559,1,1,2,1
0.34.33.29,83,465.34787,1,1,2,3
0.34.33.32,70,150.1003,0,1,2,2
0.34.33.34,323,97.111343,0,1,2,2
0.34.35,506,204.20065,0,1,0,1
0.34.35.34,118,140.02341,0,1,2,2
0.34.35.48,78,57.190861,0,1,1,2
0.34.38,135,271.17917,1,1,0,1
0.34.39,89,-173.14552,0,0,0,1
0.34.40,191,394.83902,1,1,1,1
0.34.42,66,173.759,0,1,1,1
0.34.44,306,395.76724,1,1,2,1
0.34.44.34,72,221.877,0,1,2,2
0.34.44.48,61,-5.1177282,0,0,1,2
0.34.45,322,328.75403,1,1,2,1
0.34.45.34,78,214.45697,0,1,2,2
0.34.45.48,80,8.6834583,0,1,0,2
0.34.47,169,30.949514,0,1,1,1
0.34.48,2051,64.55645,0,1,0,1
0.34.48.29,58,700.8631,1,1,1,3
0.34.48.32,77,350.60614,1,1,2,3
0.34.48.34,725,248.87659,1,1,0,3
0.34.48.34.48,211,64.55645,0,1,0,2
0.34.48.34.48.34,79,248.87659,1,1,0,3
0.34.48.35,93,317.69772,1,1,1,3
0.34.48.44,79,449.80533,1,1,1,3
0.34.48.45,75,404.6539,1,1,0,3
0.35,2642,,1,1,0,1
0.35.12,73,.50389886,0,1,1,1
0.35.15,59,470.38837,1,1,1,1
0.35.24,57,640.79028,1,1,1,1
