id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,gender_dom,relevant_wagedif_norm,wage_sign,wagegap
0,55576,,,,,,,,,0
0.11,70,18,52,,530.93671,565.91498,1,,,1
0.12,411,97,314,,1227.5671,1251.7584,1,,,1
0.12.35,251,65,186,-299.06757,513.50183,433.55151,1,0,0,0
0.13,160,9,151,,758.42474,614.42084,1,,,0
0.15,947,330,617,,653.38507,680.93024,1,,,1
0.15.29,101,38,63,472.27869,1034.7302,1231.1447,1,1,1,1
0.15.34,97,47,50,172.71002,1324.7513,1010.104,0,0,1,0
0.17,1453,362,1091,,860.03046,669.49115,1,,,0
0.17.15,119,20,99,300.98569,1567.1256,2354.0593,1,0,1,1
0.17.21,57,18,39,1197.4215,914.59137,1461.0535,1,1,1,1
0.17.23,117,51,66,615.92358,1375.2034,1775.3533,0,1,1,1
0.17.24,200,38,162,473.13071,1471.6071,1551.2205,1,1,1,1
0.17.24.17,86,13,73,1142.6189,469.24738,1550.255,1,1,1,1
0.17.29,59,16,43,444.38281,750.73169,2546.5198,1,0,1,1
0.18,482,386,96,,274.69684,626.85846,2,,,1
0.19,64,46,18,,758.4845,414.93576,2,,,0
0.20,1247,991,256,,396.22214,444.64822,2,,,1
0.20.32,75,67,8,.51075286,1974.8219,3271.9866,2,0,1,1
0.21,1222,754,468,,975.27002,989.18823,2,,,1
0.21.15,102,51,51,214.05989,1150.5377,1781.0143,0,0,1,1
0.21.23,108,63,45,521.15839,1405.7969,1555.9985,0,1,1,1
0.21.29,343,229,114,567.82373,1101.6514,1057.0026,2,1,1,0
0.21.29.21,85,59,26,497.42023,1283.7035,1075.9286,2,1,1,0
0.21.32,90,73,17,873.67834,5215.3281,811.00684,2,1,1,0
0.21.34,60,33,27,151.22231,1035.0695,1183.2125,0,0,1,1
0.22,288,165,123,,644.2641,975.08905,0,,,1
0.23,583,367,216,,895.41351,3179.6909,2,,,1
0.23.21,93,63,30,732.3728,1714.0781,887.52966,2,1,1,0
0.23.29,74,53,21,498.58475,1226.4468,1403.4274,2,1,1,1
0.24,1922,510,1412,,1174.5254,1017.2058,1,,,0
0.24.15,91,14,77,329.03909,582.44745,1426.468,1,0,1,1
0.24.17,595,101,494,1052.994,782.50452,956.38782,1,1,1,1
0.24.17.24,118,13,105,420.31381,2850.5979,1822.9673,1,0,1,0
0.24.29,117,49,68,757.26202,886.40643,849.98138,0,1,1,0
0.24.31,58,25,33,500.5802,1004.0089,1583.2166,0,1,1,1
0.24.32,98,59,39,407.89038,799.76038,1641.5673,2,0,1,1
0.24.33,58,28,30,669.86444,1028.1407,2593.0808,0,1,1,1
0.24.34,89,35,54,127.92027,1795.1066,1368.6179,1,0,1,0
0.24.40,72,5,67,-15.489985,816.633,820.78857,1,0,0,1
0.24.48,98,25,73,17.157143,1050.2445,1122.9669,1,0,1,1
0.26,616,467,149,,765.96771,1000.8137,2,,,1
0.26.18,57,40,17,1109.8287,1282.3145,230.29077,2,1,1,0
0.27,199,162,37,,699.48889,927.25171,2,,,1
0.28,325,289,36,,590.9834,681.35535,2,,,1
0.29,3906,2646,1261,,872.11713,897.33624,2,,,1
0.29.15,200,107,93,137.11523,1046.1058,1236.4504,0,0,1,1
0.29.17,86,27,59,1238.8107,1155.6388,1872.9121,1,1,1,1
0.29.21,599,381,218,818.05249,1198.1533,1499.7396,2,1,1,1
0.29.21.23,60,43,17,93.325623,1034.6271,3114.4932,2,0,1,1
0.29.21.29,154,100,54,59.253464,1281.7451,2598.4182,2,0,1,1
0.29.23,162,119,43,782.43787,1093.3477,2452.8813,2,1,1,1
0.29.24,123,51,72,822.63373,1420.7828,1829.8873,0,1,1,1
0.29.31,228,168,60,538.0191,1271.3259,2409.5964,2,1,1,1
0.29.31.29,62,45,17,540.75494,1116.7661,2787.4419,2,1,1,1
0.29.32,538,455,83,386.62421,1135.7719,1952.1265,2,0,1,1
0.29.32.29,165,141,24,637.23993,1536.3494,1234.6095,2,1,1,0
0.29.33,388,292,96,283.47272,1061.7656,856.34857,2,0,1,0
0.29.33.29,86,66,20,707.55389,643.92657,1067.7285,2,1,1,1
0.29.34,304,206,98,203.44308,1214.0662,991.66284,2,0,1,0
0.29.34.29,64,45,19,932.06329,1240.1792,1196.644,2,1,1,0
0.29.35,82,47,35,744.81415,962.60681,1074.1656,0,1,1,1
0.29.48,151,71,80,70.709572,1354.6932,1349.7839,0,0,1,0
0.30,369,199,170,,893.04913,676.82819,0,,,0
0.30.22,80,48,32,260.50497,1192.3611,3964.0588,0,0,1,1
0.31,1259,811,448,,1201.4116,1220.5964,2,,,1
0.31.17,61,20,41,2544.5476,572.69501,745.18042,1,1,1,1
0.31.21,92,55,37,1218.7402,1342.0623,876.45941,0,1,1,0
0.31.23,75,50,25,983.24548,939.13617,948.15222,2,1,1,1
0.31.29,240,178,62,734.44421,1078.3368,1490.2219,2,1,1,1
0.31.32,157,127,30,270.58777,1139.7826,1052.5673,2,0,1,0
0.31.33,76,55,21,853.33569,1521.3142,1526.6378,2,1,1,1
0.31.34,80,51,29,233.75743,909.0871,722.48334,2,0,1,0
0.31.48,57,29,28,272.85413,1148.1488,2119.2007,0,0,1,1
0.32,2989,2372,617,,871.97443,1186.0308,2,,,1
0.32.15,127,87,40,346.94659,1323.4519,748.36188,2,0,1,0
0.32.17,93,37,56,2254.0957,899.39355,812.46075,1,1,1,0
0.32.20,57,50,7,1437.3823,909.82971,474.40082,2,1,1,0
0.32.21,190,144,46,1485.3856,1240.4093,1652.5394,2,1,1,1
0.32.23,96,78,18,755.08459,1075.2794,951.42407,2,1,1,0
0.32.24,98,56,42,1532.8324,1321.0066,1186.2936,0,1,1,0
0.32.26,86,73,13,277.62616,1042.552,1325.088,2,0,1,1
0.32.29,671,566,105,719.87512,866.78888,1142.5992,2,1,1,1
0.32.29.21,81,63,18,512.22699,1474.8344,1021.2824,2,1,1,0
0.32.29.32,144,126,18,426.28751,1839.3619,1252.1044,2,0,1,0
0.32.31,226,195,31,489.49524,922.86993,1340.2053,2,1,1,1
0.32.33,202,176,26,462.02884,1143.7776,2052.8347,2,1,1,1
0.32.34,216,187,29,251.76443,960.28882,1108.5001,2,0,1,1
0.32.35,67,52,15,446.90555,837.67804,1812.3687,2,0,1,1
0.32.48,169,124,45,-3.1829083,1255.704,459.03555,2,0,0,0
0.33,1766,1287,479,,1178.1863,1248.7385,2,,,1
0.33.21,71,48,23,1683.4879,1067.7729,978.46631,2,1,1,0
0.33.24,98,36,62,1151.5029,1092.4406,936.36377,1,1,1,0
0.33.29,315,258,57,587.84601,993.67108,1164.908,2,1,1,1
0.33.29.32,61,53,8,56.899845,1023.1091,1024.0834,2,0,1,1
0.33.31,84,62,22,586.00049,2266.8738,1183.2079,2,1,1,0
0.33.32,238,206,32,255.27338,1153.3654,1365.509,2,0,1,1
0.33.34,316,266,50,222.44617,1047.2341,1149.1379,2,0,1,1
0.33.35,59,31,28,683.64178,1594.792,658.56744,0,1,1,0
0.33.48,132,79,53,89.247391,1091.3081,1414.7522,0,0,1,1
0.34,9998,6549,3449,,700.1936,834.66663,2,,,1
0.34.15,606,299,307,228.16452,1187.4033,1052.5541,0,0,1,0
0.34.15.34,259,137,122,87.033218,1029.1071,1414.4294,0,0,1,1
0.34.15.34.15,67,35,32,323.18842,1640.3916,1100.4513,0,0,1,0
0.34.17,74,24,50,4008.2727,510.54791,1091.2142,1,1,1,1
0.34.20,127,107,20,1182.5199,473.54602,692.26514,2,1,1,1
0.34.21,172,95,77,1476.5542,1027.316,1104.3525,0,1,1,1
0.34.23,65,41,24,2015.9126,653.51349,1062.9843,2,1,1,1
0.34.24,220,95,125,822.30396,1056.2844,685.3291,0,1,1,0
0.34.26,89,77,12,683.89667,943.48102,1098.5681,2,1,1,1
0.34.28,58,54,4,119.60806,673.74164,394.25067,2,0,1,0
0.34.29,866,616,250,973.61835,968.67908,1077.2538,2,1,1,1
0.34.29.15,59,38,21,76.869003,1255.3726,960.16797,2,0,1,0
0.34.29.32,90,86,4,282.34811,1243.6421,358.56616,2,0,1,0
0.34.29.33,105,87,18,140.15619,1301.5311,1153.8447,2,0,1,0
0.34.29.34,193,136,57,63.25449,842.90118,1350.905,2,0,1,1
0.34.31,224,166,58,853.03143,1252.3501,1636.7037,2,1,1,1
0.34.32,667,593,74,568.03552,862.07147,1700.5363,2,1,1,1
0.34.32.29,89,83,6,600.8985,827.79266,1027.5917,2,1,1,1
0.34.32.34,132,119,13,241.79269,1134.006,917.14905,2,0,1,0
0.34.33,762,644,118,391.48621,1033.9064,1585.4523,2,0,1,1
0.34.33.29,83,70,13,194.81671,1285.6573,1087.6135,2,0,1,0
0.34.33.32,70,65,5,196.78488,963.39441,1187.8602,2,0,1,1
0.34.33.34,323,284,39,152.63066,781.0387,1058.7955,2,0,1,1
0.34.35,506,323,183,260.15894,966.92773,947.19495,2,0,1,0
0.34.35.34,118,86,32,249.08733,1335.9725,1374.7765,2,0,1,1
0.34.35.48,78,38,40,51.874126,732.52148,780.1283,0,0,1,1
0.34.38,135,65,70,328.45416,1036.5377,649.0575,0,0,1,0
0.34.39,89,48,41,144.36128,953.26776,1123.2433,0,0,1,1
