id,value,relevant_wagedif_abs,relevant_wagedif_rel
0.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas,79,1,3
0.Irodai/ugyviteli.Oktatok/pedagodusok,57,1,1
0.Szolgaltatasi.Keresk/vendeglatas,291,0,1
0.Kepesitest nem igenylo.Erdo/vadgazdalk/halaszat,87,0,1
0.Keresk/vendeglatas.Fem/villamosipari,191,1,1
0.Keresk/vendeglatas.Ugyfelkapcsolati,762,1,1
0.Muv/kult/sport/vallas.Kult/sport/muv/vallas (f),80,0,1
0.Szolgaltatasi.Uzleti ugyintezok,147,1,1
0.Kepesitest nem igenylo.Konnyuipari,191,0,1
0.Gazdalkodas/jog/tarstud.Irodai/ugyviteli,90,1,1
0.Fem/villamosipari.Kepesitest nem igenylo,549,0,1
0.Vezetok/szakmai iranyitok.Uzleti ugyintezok,101,1,1
0.Kepesitest nem igenylo.Elelmiszer-ipari,239,1,1
0.Muszaki/inform/termtud.Uzleti ugyintezok,59,1,1
0.Uzleti ugyintezok.Egyeb ugyintezok.Uzleti ugyintezok,62,1,3
0.Technikusok/muszaki.Egyeb ugyintezok,58,1,1
0.Osszeszerelok.Feldolgozoip gepkezelok.Kepesitest nem igenylo,73,0,2
0.Feldolgozoip gepkezelok.Epitoipari,67,0,1
0.Irodai/ugyviteli.Ugyfelkapcsolati,202,1,1
0.Muszaki/inform/termtud.M_kepz ugyintezok,117,1,1
0.Helyhez kotott gepkez,259,1,1
0.Gazdalkodas/jog/tarstud.Uzleti ugyintezok,343,1,1
0.Feldolgozoip gepkezelok.Osszeszerelok,293,0,1
0.Keresk/vendeglatas.Konnyuipari,89,0,1
0.Keresk/vendeglatas.Oktatok/pedagodusok,127,1,1
0.Keresk/vendeglatas.Szolgaltatasi.Kepesitest nem igenylo,78,0,2
0.Kepesitest nem igenylo.Uzleti ugyintezok,312,1,1
0.Kepesitest nem igenylo.Egyeb ipari/epitoipari,125,0,1
0.Kepesitest nem igenylo.Szocialis gondozas,88,1,1
0.Technikusok/muszaki,1922,1,1
0.Osszeszerelok.Feldolgozoip gepkezelok.Osszeszerelok,88,0,3
0.Epitoipari.Osszeszerelok,57,1,1
0.Keresk/vendeglatas.Feldolgozoip gepkezelok.Kepesitest nem igenylo,61,0,2
0.Kepesitest nem igenylo.Egyeb ipari/epitoipari.Kepesitest nem igenylo,74,0,2
0.Szolgaltatasi.Keresk/vendeglatas.Kepesitest nem igenylo,60,0,2
0.Keresk/vendeglatas.Osszeszerelok.Kepesitest nem igenylo,80,0,2
0.Keresk/vendeglatas.M_kepz ugyintezok,65,1,1
0.Fem/villamosipari.Epitoipari.Fem/villamosipari,58,1,3
0.Jarmuvez/mobil gepkez.Kepesitest nem igenylo,152,0,1
0.Irodai/ugyviteli.Uzleti ugyintezok,671,1,1
0.Uzleti ugyintezok.Muszaki/inform/termtud,86,1,1
0.Egyeb ugyintezok.Gazdalkodas/jog/tarstud,92,1,1
0.Ugyfelkapcsolati.Szolgaltatasi,59,1,1
0.Szolgaltatasi,2642,1,1
0.Keresk/vendeglatas.Muszaki/inform/termtud,74,1,1
0.Mzg,585,1,1
0.Keresk/vendeglatas.Uzleti ugyintezok.Ugyfelkapcsolati,105,0,2
0.Kepesitest nem igenylo.Mzg,196,0,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Osszeszerelok,75,1,3
0.Keresk/vendeglatas.Ugyfelkapcsolati.Irodai/ugyviteli,70,0,2
0.Muszaki/inform/termtud.Vezetok/szakmai iranyitok,119,1,1
0.Keresk/vendeglatas.Irodai/ugyviteli.Keresk/vendeglatas,132,1,2
0.Keresk/vendeglatas.Szolgaltatasi.Keresk/vendeglatas,118,0,2
0.Irodai/ugyviteli.Uzleti ugyintezok.Irodai/ugyviteli,144,0,2
0.Feldolgozoip gepkezelok,2189,1,1
0.Irodai/ugyviteli.Kepesitest nem igenylo,169,0,1
0.Szolgaltatasi.Kepesitest nem igenylo,390,0,1
0.Szocialis gondozas,325,1,1
0.Vezetok/szakmai iranyitok,947,1,1
0.Keresk/vendeglatas,9998,1,1
0.Egyeb ugyintezok.Kepesitest nem igenylo,57,0,1
0.Kepesitest nem igenylo.Feldolgozoip gepkezelok.Osszeszerelok,70,0,2
0.Irodai/ugyviteli.Muszaki/inform/termtud,93,1,1
0.Uzleti ugyintezok.M_kepz ugyintezok,162,1,1
0.Gazdalkodas/jog/tarstud,1222,1,1
0.Szolgaltatasi.Jarmuvez/mobil gepkez,81,0,1
0.Erdo/vadgazdalk/halaszat,126,1,1
0.Ugyfelkapcsolati,1766,1,1
0.Gazdalkodas/jog/tarstud.Uzleti ugyintezok.Gazdalkodas/jog/tarstud,85,1,3
0.Kepesitest nem igenylo.Oktatok/pedagodusok,57,1,1
0.Uzleti ugyintezok.Irodai/ugyviteli,538,0,1
0.Technikusok/muszaki.Fem/villamosipari,72,0,1
0.Uzleti ugyintezok.Ugyfelkapcsolati.Uzleti ugyintezok,86,1,3
0.Osszeszerelok.Technikusok/muszaki,93,1,1
0.Technikusok/muszaki.Ugyfelkapcsolati,58,1,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Szolgaltatasi,93,1,3
0.Epitoipari,1707,1,1
0.Fem/villamosipari,2667,1,1
0.Epitoipari.Kepesitest nem igenylo,607,0,1
0.Oktatok/pedagodusok.Irodai/ugyviteli,75,0,1
0.Oktatok/pedagodusok,1247,1,1
0.Fegyveres (k).Szolgaltatasi,251,0,1
0.Elelmiszer-ipari.Feldolgozoip gepkezelok,80,0,1
0.Egyeb ipari/epitoipari.Kepesitest nem igenylo,56,0,1
0.Fegyveres (k),411,1,1
0.Feldolgozoip gepkezelok.Osszeszerelok.Kepesitest nem igenylo,81,0,2
0.Epitoipari.Kepesitest nem igenylo.Epitoipari.Kepesitest nem igenylo,104,0,2
0.Technikusok/muszaki.Keresk/vendeglatas,89,1,1
0.Kepesitest nem igenylo.Feldolgozoip gepkezelok.Kepesitest nem igenylo,253,0,2
0.Okt asszisztens,199,1,1
0.Konnyuipari.Kepesitest nem igenylo,415,0,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Irodai/ugyviteli,77,1,3
0.Uzleti ugyintezok.Irodai/ugyviteli.Uzleti ugyintezok,165,1,3
0.Kepesitest nem igenylo.Osszeszerelok,626,1,1
0.Irodai/ugyviteli.Szolgaltatasi,67,1,1
0.Kepesitest nem igenylo.Osszeszerelok.Kepesitest nem igenylo,269,0,2
0.Irodai/ugyviteli.Egeszsegugyi,86,0,1
0.Keresk/vendeglatas.Vezetok/szakmai iranyitok,606,0,1
0.Szolgaltatasi.Fem/villamosipari,60,0,1
0.Osszeszerelok.Kepesitest nem igenylo,571,0,1
0.Kepesitest nem igenylo.Szolgaltatasi,502,1,1
0.Uzleti ugyintezok.Egyeb ugyintezok,228,1,1
0.Konnyuipari.Feldolgozoip gepkezelok,157,1,1
0.Feldolgozoip gepkezelok.Kepesitest nem igenylo,572,0,1
0.Uzleti ugyintezok,3906,1,1
0.Technikusok/muszaki.Vezetok/szakmai iranyitok,91,1,1
0.Kepesitest nem igenylo.Fem/villamosipari.Kepesitest nem igenylo,177,0,2
0.Keresk/vendeglatas.Irodai/ugyviteli,667,1,1
0.Irodai/ugyviteli.Uzleti ugyintezok.Gazdalkodas/jog/tarstud,81,1,3
0.Kepesitest nem igenylo.Fem/villamosipari,494,1,1
0.Feldolgozoip gepkezelok.Konnyuipari,93,0,1
0.Ugyfelkapcsolati.Technikusok/muszaki,98,1,1
0.Fem/villamosipari.Uzleti ugyintezok,60,1,1
0.Konnyuipari.Fem/villamosipari,77,0,1
0.Kepesitest nem igenylo.Helyhez kotott gepkez,98,1,1
0.Kepesitest nem igenylo.Ugyfelkapcsolati,146,1,1
0.Osszeszerelok.Kepesitest nem igenylo.Osszeszerelok,103,1,3
0.Technikusok/muszaki.Uzleti ugyintezok,117,1,1
0.Uzleti ugyintezok.Gazdalkodas/jog/tarstud,599,1,1
0.Uzleti ugyintezok.Gazdalkodas/jog/tarstud.Uzleti ugyintezok,154,1,2
0.Keresk/vendeglatas.Kepesitest nem igenylo.Uzleti ugyintezok,58,1,3
0.Feldolgozoip gepkezelok.Keresk/vendeglatas.Kepesitest nem igenylo,57,0,2
0.Egyeb ugyintezok,1259,1,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Feldolgozoip gepkezelok,79,1,3
0.Szolgaltatasi.Vezetok/szakmai iranyitok,59,1,1
0.Ugyfelkapcsolati.Keresk/vendeglatas,316,0,1
0.Ugyfelkapcsolati.Kepesitest nem igenylo,132,0,1
0.Kepesitest nem igenylo.Vezetok/szakmai iranyitok,130,1,1
0.Fem/villamosipari.Technikusok/muszaki,188,1,1
0.Keresk/vendeglatas.Uzleti ugyintezok.Irodai/ugyviteli,90,0,2
0.Epitoipari.Keresk/vendeglatas,82,1,1
0.Ugyfelkapcsolati.Uzleti ugyintezok.Irodai/ugyviteli,61,0,2
0.Fem/villamosipari.Szolgaltatasi,99,0,1
0.Kepesitest nem igenylo.Epitoipari.Kepesitest nem igenylo.Epitoipari,70,1,3
0.Osszeszerelok,1972,1,1
0.Keresk/vendeglatas.Vezetok/szakmai iranyitok.Keresk/vendeglatas.Vezetok/szakmai iranyitok,67,0,3
0.Kepesitest nem igenylo.Muszaki/inform/termtud,89,1,1
0.Fegyveres (a),160,1,1
0.Irodai/ugyviteli,2989,1,1
0.Keresk/vendeglatas.Kepesitest nem igenylo,2051,0,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas.Kepesitest nem igenylo,211,0,2
0.Ugyfelkapcsolati.Gazdalkodas/jog/tarstud,71,1,1
0.Jarmuvez/mobil gepkez.Keresk/vendeglatas,63,0,1
0.Uzleti ugyintezok.Ugyfelkapcsolati,388,0,1
0.Keresk/vendeglatas.Uzleti ugyintezok.Vezetok/szakmai iranyitok,59,0,2
0.Technikusok/muszaki.Kepesitest nem igenylo,98,0,1
0.Szocialis (f),64,1,1
0.Egyeb ugyintezok.Ugyfelkapcsolati,76,1,1
0.Keresk/vendeglatas.Feldolgozoip gepkezelok,306,1,1
0.Osszeszerelok.Feldolgozoip gepkezelok,325,0,1
0.Kepesitest nem igenylo.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas,107,1,3
0.Konnyuipari,1392,1,1
0.Elelmiszer-ipari.Kepesitest nem igenylo,377,0,1
0.Keresk/vendeglatas.Epitoipari,66,0,1
0.Osszeszerelok.Fem/villamosipari,177,1,1
0.Kepesitest nem igenylo.Technikusok/muszaki,248,1,1
0.Feldolgozoip gepkezelok.Kepesitest nem igenylo.Feldolgozoip gepkezelok,97,1,3
0,55576,,1
0.Uzleti ugyintezok.Keresk/vendeglatas.Uzleti ugyintezok,64,1,3
0.Feldolgozoip gepkezelok.Keresk/vendeglatas,201,0,1
0.Technikusok/muszaki.Muszaki/inform/termtud,595,1,1
0.Keresk/vendeglatas.Osszeszerelok,322,1,1
0.Szolgaltatasi.Irodai/ugyviteli,88,1,1
0.Ugyfelkapcsolati.Egyeb ugyintezok,84,1,1
0.Feldolgozoip gepkezelok.Osszeszerelok.Feldolgozoip gepkezelok,65,0,2
0.Feldolgozoip gepkezelok.Fem/villamosipari,214,1,1
0.Technikusok/muszaki.Muszaki/inform/termtud.Technikusok/muszaki,118,1,2
0.Keresk/vendeglatas.Technikusok/muszaki,220,1,1
0.Epitoipari.Kepesitest nem igenylo.Epitoipari,236,1,3
