id,value,nok,ffiak,wage_dif,gender_dom,relevant_wagedif_norm,wage_sign,id_labels
0,55576,,,,,,,0
0.11,70,18,52,,1,,,0.Armed forces (t)
0.12,411,97,314,,1,,,0.Armed forces (s)
0.12.35,251,65,186,-299.06757,1,0,0,0.Armed forces (s).Service workers
0.13,160,9,151,,1,,,0.Armed forces (e)
0.15,947,330,617,,1,,,"0.Managing directors, managers"
0.15.29,101,38,63,472.27869,1,1,1,"0.Managing directors, managers.Business related services administrators, agents"
0.15.34,97,47,50,172.71002,0,0,1,"0.Managing directors, managers.Commercial and catering occupations"
0.17,1453,362,1091,,1,,,"0.Technical, information technology, science related professionals"
0.17.15,119,20,99,300.98569,1,0,1,"0.Technical, information technology, science related professionals.Managing directors, managers"
0.17.21,57,18,39,1197.4215,1,1,1,"0.Technical, information technology, science related professionals.Business type, legal and social sciences professionals"
0.17.23,117,51,66,615.92358,0,1,1,"0.Technical, information technology, science related professionals.Other highly qualified executives"
0.17.24,200,38,162,473.13071,1,1,1,"0.Technical, information technology, science related professionals.Technicians and technical professionals"
0.17.24.17,86,13,73,1142.6189,1,1,1,"0.Technical, information technology, science related professionals.Technicians and technical professionals.Technical, information technology, science related professionals"
0.17.29,59,16,43,444.38281,1,0,1,"0.Technical, information technology, science related professionals.Business related services administrators, agents"
0.18,482,386,96,,2,,,0.Health professionals
0.19,64,46,18,,2,,,0.Social services professional
0.20,1247,991,256,,2,,,"0.Educators, teachers"
0.20.32,75,67,8,.51075286,2,0,1,"0.Educators, teachers.Office clerks"
0.21,1222,754,468,,2,,,"0.Business type, legal and social sciences professionals"
0.21.15,102,51,51,214.05989,0,0,1,"0.Business type, legal and social sciences professionals.Managing directors, managers"
0.21.23,108,63,45,521.15839,0,1,1,"0.Business type, legal and social sciences professionals.Other highly qualified executives"
0.21.29,343,229,114,567.82373,2,1,1,"0.Business type, legal and social sciences professionals.Business related services administrators, agents"
0.21.29.21,85,59,26,497.42023,2,1,1,"0.Business type, legal and social sciences professionals.Business related services administrators, agents.Business type, legal and social sciences professionals"
0.21.32,90,73,17,873.67834,2,1,1,"0.Business type, legal and social sciences professionals.Office clerks"
0.21.34,60,33,27,151.22231,0,0,1,"0.Business type, legal and social sciences professionals.Commercial and catering occupations"
