id,value,nok,ffiak,wage_dif,mean_wage_fem,mean_wage_male,noi_honap,ffi_honap,gender_dom,relevant_wagedif_norm,wage_sign,wagegap,tenure_dif
0,55576,,,,,,,,,,,,
0.11,70,18,52,,530.93671,565.91498,79.611115,78.846153,1,,,1,0
0.12,411,97,314,,1227.5671,1251.7584,35.886597,46.42675,1,,,1,1
0.12.35,251,65,186,-299.06757,513.50183,433.55151,62.49231,59.456989,1,0,0,0,0
0.13,160,9,151,,758.42474,614.42084,57.444443,55.006622,1,,,0,0
0.15,947,330,617,,653.38507,680.93024,30.190908,38.623985,1,,,1,1
0.15.29,101,38,63,472.27869,1034.7302,1231.1447,26.289474,32.84127,1,1,1,1,1
0.15.34,97,47,50,172.71002,1324.7513,1010.104,23.404255,23.559999,0,0,1,0,1
0.17,1453,362,1091,,860.03046,669.49115,42.687847,59.631531,1,,,0,1
0.17.15,119,20,99,300.98569,1567.1256,2354.0593,25.950001,33.292931,1,0,1,1,1
0.17.21,57,18,39,1197.4215,914.59137,1461.0535,39.277779,32.948719,1,1,1,1,0
0.17.23,117,51,66,615.92358,1375.2034,1775.3533,33.196079,39.636364,0,1,1,1,1
0.17.24,200,38,162,473.13071,1471.6071,1551.2205,31.631578,30.537037,1,1,1,1,0
0.17.24.17,86,13,73,1142.6189,469.24738,1550.255,47.846153,41.38356,1,1,1,1,0
0.17.29,59,16,43,444.38281,750.73169,2546.5198,50.1875,36.325581,1,0,1,1,0
0.18,482,386,96,,274.69684,626.85846,71.658028,68.0625,2,,,1,0
0.19,64,46,18,,758.4845,414.93576,36.847828,43.555557,2,,,0,1
0.20,1247,991,256,,396.22214,444.64822,60.509586,58.808594,2,,,1,0
0.20.32,75,67,8,.51075286,1974.8219,3271.9866,17.283583,7.375,2,0,1,1,0
0.21,1222,754,468,,975.27002,989.18823,34.408489,35.106838,2,,,1,1
0.21.15,102,51,51,214.05989,1150.5377,1781.0143,31.411764,34.274509,0,0,1,1,1
0.21.23,108,63,45,521.15839,1405.7969,1555.9985,35.079365,35.91111,0,1,1,1,1
0.21.29,343,229,114,567.82373,1101.6514,1057.0026,34.554585,38.552631,2,1,1,0,1
0.21.29.21,85,59,26,497.42023,1283.7035,1075.9286,34.898304,40.807693,2,1,1,0,1
0.21.32,90,73,17,873.67834,5215.3281,811.00684,22.616438,29.352942,2,1,1,0,1
0.21.34,60,33,27,151.22231,1035.0695,1183.2125,26.848484,19.333334,0,0,1,1,0
0.22,288,165,123,,644.2641,975.08905,39.539394,40.943089,0,,,1,1
0.23,583,367,216,,895.41351,3179.6909,42.659401,35.773148,2,,,1,0
0.23.21,93,63,30,732.3728,1714.0781,887.52966,32.682541,44.366665,2,1,1,0,1
0.23.29,74,53,21,498.58475,1226.4468,1403.4274,34.226414,34.666668,2,1,1,1,1
0.24,1922,510,1412,,1174.5254,1017.2058,24.037254,34.029743,1,,,0,1
0.24.15,91,14,77,329.03909,582.44745,1426.468,34.785713,35.870129,1,0,1,1,1
0.24.17,595,101,494,1052.994,782.50452,956.38782,46.79208,52.59919,1,1,1,1,1
0.24.17.24,118,13,105,420.31381,2850.5979,1822.9673,18.076923,31.209524,1,0,1,0,1
0.24.29,117,49,68,757.26202,886.40643,849.98138,44.489796,40.264706,0,1,1,0,0
0.24.31,58,25,33,500.5802,1004.0089,1583.2166,25.120001,22.30303,0,1,1,1,0
0.24.32,98,59,39,407.89038,799.76038,1641.5673,31.559322,18.692308,2,0,1,1,0
0.24.33,58,28,30,669.86444,1028.1407,2593.0808,27.142857,22.166666,0,1,1,1,0
0.24.34,89,35,54,127.92027,1795.1066,1368.6179,21.571428,22.388889,1,0,1,0,1
0.24.40,72,5,67,-15.489985,816.633,820.78857,7,39.835819,1,0,0,1,1
0.24.48,98,25,73,17.157143,1050.2445,1122.9669,16.52,19.438356,1,0,1,1,1
0.26,616,467,149,,765.96771,1000.8137,45.895077,44.872482,2,,,1,0
0.26.18,57,40,17,1109.8287,1282.3145,230.29077,53.299999,67.647057,2,1,1,0,1
0.27,199,162,37,,699.48889,927.25171,20.783951,20.729731,2,,,1,0
0.28,325,289,36,,590.9834,681.35535,34.737022,28.305555,2,,,1,0
0.29,3906,2646,1261,,872.11713,897.33624,36.315193,33.515465,2,,,1,0
0.29.15,200,107,93,137.11523,1046.1058,1236.4504,30.981308,33.430107,0,0,1,1,1
0.29.17,86,27,59,1238.8107,1155.6388,1872.9121,31.074074,42.59322,1,1,1,1,1
0.29.21,599,381,218,818.05249,1198.1533,1499.7396,36.740158,38.256882,2,1,1,1,1
0.29.21.23,60,43,17,93.325623,1034.6271,3114.4932,38.209301,22.470589,2,0,1,1,0
0.29.21.29,154,100,54,59.253464,1281.7451,2598.4182,32.27,33.592594,2,0,1,1,1
0.29.23,162,119,43,782.43787,1093.3477,2452.8813,37,33.720932,2,1,1,1,0
0.29.24,123,51,72,822.63373,1420.7828,1829.8873,28.09804,28.875,0,1,1,1,1
0.29.31,228,168,60,538.0191,1271.3259,2409.5964,26.011906,21.716667,2,1,1,1,0
0.29.31.29,62,45,17,540.75494,1116.7661,2787.4419,32.355556,35.411766,2,1,1,1,1
0.29.32,538,455,83,386.62421,1135.7719,1952.1265,27.72967,25.409639,2,0,1,1,0
0.29.32.29,165,141,24,637.23993,1536.3494,1234.6095,33.943264,39.291668,2,1,1,0,1
0.29.33,388,292,96,283.47272,1061.7656,856.34857,29.174658,33.791668,2,0,1,0,1
0.29.33.29,86,66,20,707.55389,643.92657,1067.7285,32.878788,32.950001,2,1,1,1,1
0.29.34,304,206,98,203.44308,1214.0662,991.66284,18.402912,22.785715,2,0,1,0,1
0.29.34.29,64,45,19,932.06329,1240.1792,1196.644,36.644444,30.736841,2,1,1,0,0
0.29.35,82,47,35,744.81415,962.60681,1074.1656,22.893618,30.914286,0,1,1,1,1
0.29.48,151,71,80,70.709572,1354.6932,1349.7839,11.676056,21.299999,0,0,1,0,1
0.30,369,199,170,,893.04913,676.82819,21.80402,30.299999,0,,,0,1
0.30.22,80,48,32,260.50497,1192.3611,3964.0588,38.708332,30.25,0,0,1,1,0
0.31,1259,811,448,,1201.4116,1220.5964,20.648582,20.566965,2,,,1,0
0.31.17,61,20,41,2544.5476,572.69501,745.18042,50.799999,53.512196,1,1,1,1,1
0.31.21,92,55,37,1218.7402,1342.0623,876.45941,32.109093,39.675674,0,1,1,0,1
0.31.23,75,50,25,983.24548,939.13617,948.15222,46.32,36.759998,2,1,1,1,0
0.31.29,240,178,62,734.44421,1078.3368,1490.2219,36.713482,30.419355,2,1,1,1,0
0.31.32,157,127,30,270.58777,1139.7826,1052.5673,29.377953,18.5,2,0,1,0,0
0.31.33,76,55,21,853.33569,1521.3142,1526.6378,29.890909,35.333332,2,1,1,1,1
0.31.34,80,51,29,233.75743,909.0871,722.48334,23.431372,24.413794,2,0,1,0,1
0.31.48,57,29,28,272.85413,1148.1488,2119.2007,19.896551,18.678572,0,0,1,1,0
0.32,2989,2372,617,,871.97443,1186.0308,29.154722,23.787682,2,,,1,0
0.32.15,127,87,40,346.94659,1323.4519,748.36188,26.229885,37.325001,2,0,1,0,1
0.32.17,93,37,56,2254.0957,899.39355,812.46075,33.675674,52.69643,1,1,1,0,1
0.32.20,57,50,7,1437.3823,909.82971,474.40082,35.799999,53.142857,2,1,1,0,1
