Word	Frequency
the_DET	4187
the_DET	4186
that_SCONJ	4185
and_CONJ	4184
this_PRON	4183
no_ADV	4182
also_CONJ	4181
one_DET	4180
there_is_SYM	4179
Digg_and_Civic_Party_PROPN	4178
Independent_Smallholders'_NOUN	4177
must_SYM	4176
which_PRON	4175
and_PART	4174
but_CONJ	4173
if_SCONJ	4172
Hungary_PROPN	4171
I_PRON	4170
weave_NOUN	4169
law_NOUN	4168
because_SCONJ	4167
so_PRON	4166
volt_SYM	4165
already_ADV	4164
Dr._INTJ	4163
we_PRON	4162
just_ADV	4161
or_CONJ	4160
which_PRON	4159
now_ADV	4158
so_CONJ	4157
Congressman_NOUN	4156
more_ADV	4155
question_NOUN	4154
may_SYM	4153
can_SYM	4152
Yes_INTJ	4151
will_be_SYM	4150
Thanks_SYM	4149
away_ADV	4148
government_NOUN	4147
here_ADV	4146
Who_ADV	4145
who_PRON	4144
e_PRON	4143
neither_ADV	4142
as_SCONJ	4141
country_NOUN	4140
respected_ADJ	4139
applause_NOUN	4138
President_ADJ	4137
large_ADJ	4136
tooth_AUX	4135
but_also_CONJ	4134
by_ADP	4133
chairman_NOUN	4132
year_NOUN	4131
such_PRON	4130
tin_PRON	4129
part_NOUN	4128
bill_NOUN	4127
proposal_NOUN	4126
commission_NOUN	4125
business_ADV	4124
beer_NOUN	4123
very_ADV	4122
so_CONJ	4121
Please_SYM	4120
case_NOUN	4119
basis_NOUN	4118
dog_NOUN	4117
when_ADV	4116
all_PRON	4115
good_ADJ	4114
in_turn_CONJ	4113
therefore_ADV	4112
state_NOUN	4111
Attention_NOUN	4110
because_CONJ	4109
do_SYM	4108
wish_SYM	4107
other_PRON	4106
up_ADV	4105
new_ADJ	4104
I_think_INTJ	4103
therefore_ADV	4102
law_NOUN	4101
grant_SYM	4100
President,_thank_you_ADJ	4099
Minister_NOUN	4098
point_ADV	4097
not_ADV	4096
two_NUM	4095
honorable_house_NOUN	4094
give_SYM	4093
more_NUM	4092
itself_PRON	4091
on_ADV	4090
Hungarian_Socialist_Party_PROPN	4089
Mr._NOUN	4088
human_NOUN	4087
area_NOUN	4086
but_CONJ	4085
honorable_National_Assembly_NOUN	4084
or_CONJ	4083
then_ADV	4082
hold_SYM	4081
aid_NOUN	4080
whole_ADJ	4079
to_ADJ	4078
task_NOUN	4077
business_NOUN	4076
answer_NOUN	4075
should_SYM	4074
economic_ADJ	4073
think_CONJ	4072
thank_you_very_much_NOUN	4071
