Word	Frequency
the	7692
the	7691
that	7690
and	7689
this	7688
no	7687
also	7686
one	7685
there_is	7684
and	7683
which	7682
hungary	7681
weave	7680
which	7679
if	7678
must	7677
congressman	7676
fidesz_hungarian_civic_union	7675
tin	7674
but	7673
government	7672
volt	7671
we	7670
or	7669
can	7668
so	7667
law	7666
already	7665
chairman	7664
now	7663
just	7662
question	7661
because	7660
i	7659
away	7658
will_be	7657
more	7656
so	7655
president	7654
honorable_national_assembly	7653
thank_you_very_much	7652
respected	7651
may	7650
here	7649
thanks	7648
who	7647
country	7646
year	7645
proposal	7644
tooth	7643
dog	7642
beer	7641
who	7640
neither	7639
dr.	7638
commission	7637
e	7636
in_turn	7635
applause	7634
state_secretary	7633
large	7632
as	7631
because	7630
part	7629
bill	7628
but_also	7627
business	7626
good	7625
parliament	7624
all	7623
such	7622
very	7621
please	7620
so	7619
representative	7618
love	7617
hungarian_socialist_party	7616
therefore	7615
think	7614
human	7613
by	7612
when	7611
attention	7610
basis	7609
new	7608
point	7607
case	7606
do	7605
possibility	7604
debate	7603
amendment	7602
other	7601
then	7600
european_union	7599
state	7598
honorable_house	7597
representative_co	7596
or	7595
aid	7594
more	7593
therefore	7592
system	7591
grant	7590
two	7589
otherwise	7588
honorable_members,	7587
mr.	7586
council	7585
important	7584
not	7583
budget	7582
percentage	7581
itself	7580
answer	7579
wish	7578
area	7577
give	7576
on	7575
vote	7574
work	7573
target	7572
problem	7571
for	7570
yes	7569
time	7568
what_kind_of	7567
support	7566
by	7565
president,_thank_you	7564
thing	7563
task	7562
minister	7561
vote	7560
up	7559
business	7558
one	7557
hold	7556
see	7555
talk	7554
following	7553
solo	7552
really	7551
are	7550
today	7549
program	7548
economic	7547
cost	7546
law	7545
mode	7544
t	7543
after	7542
interests	7541
amendment	7540
think	7539
he	7538
s	7537
parliament	7536
to	7535
there	7534
tell	7533
all	7532
on_this	7531
therein	7530
1	7529
number	7528
why	7527
tell	7526
between	7525
maybe	7524
some	7523
relationship	7522
required	7521
viewpoint	7520
national	7519
first	7518
2	7517
ask	7516
but	7515
interest_érd	7514
they	7513
accept	7512
state	7511
aye	7510
budgetary	7509
speak	7508
many	7507
be	7506
where	7505
will	7504
decision	7503
money	7502
present	7501
deed	7500
for_example	7499
yearly	7498
huf_billion	7497
should	7496
minister	7495
10	7494
flag	7493
another	7492
source	7491
indicate	7490
true	7489
i_think	7488
grant	7487
buy	7486
rule	7485
i	7484
gets	7483
state	7482
john	7481
stand	7480
institution	7479
will	7478
political	7477
opinion	7476
family	7475
understand	7474
i_want	7473
well	7472
as_well_as	7471
thousand	7470
naturally	7469
seat	7468
for	7467
look	7466
how	7465
whole	7464
to	7463
mep	7462
they	7461
mean	7460
organization	7459
small	7458
not_only	7457
proceedings	7456
5	7455
activity	7454
20	7453
own	7452
individual	7451
3	7450
follow	7449
heard	7448
place	7447
significant	7446
ask	7445
everybody	7444
past	7443
next_to	7442
live	7441
accepts	7440
day	7439
happened	7438
stephen	7437
it_is	7436
three	7435
provisions	7434
same	7433
regulation	7432
pew	7431
solution	7430
measure	7429
to_say	7428
amount	7427
local_government	7426
constitution	7425
further	7424
beat	7423
economy	7422
not_against	7421
cost	7420
and	7419
as	7418
opposition	7417
future	7416
30	7415
professional	7414
broad	7413
submitting	7412
answer	7411
amendments	7410
data	7409
general_debate	7408
without	7407
result	7406
settlement	7405
tax	7404
namely	7403
just	7402
15	7401
juice	7400
i_know	7399
under	7398
4	7397
standpoint	7396
fraction	7395
development	7394
condition	7393
title	7392
look	7391
interruption	7390
name	7389
laws	7388
against	7387
child	7386
link	7385
politician	7384
certain	7383
unfortunately	7382
concerning	7381
the	7380
let	7379
end	7378
frame	7377
need	7376
before	7375
related	7374
example	7373
process	7372
measure	7371
he_told	7370
few	7369
also	7368
a_detailed_discussion	7367
right	7366
ask	7365
social	7364
someone	7363
percent	7362
residence	7361
person	7360
form	7359
however	7358
because	7357
under-secretary	7356
recommendation	7355
group	7354
current	7353
agree	7352
supply	7351
better_hungary_movement	7350
continue	7349
enough	7348
level	7347
given	7346
mouth	7345
through	7344
contain	7343
step	7342
acceptance	7341
joseph	7340
exactly	7339
disease	7338
completely	7337
interest	7336
8	7335
something	7334
in_addition_to_stay	7333
on	7332
government_party_lines	7331
prime_minister	7330
6	7329
since	7328
serious	7327
comment	7326
40	7325
parliamentary	7324
no.	7323
direction	7322
international	7321
negotiation	7320
protection	7319
ministry	7318
nothing	7317
help	7316
undertaking	7315
resolution	7314
we_say	7313
obligation	7312
sanitary	7311
side	7310
intention	7309
to_change_the_law	7308
within	7307
bad	7306
happen	7305
period	7304
society	7303
former	7302
more_than	7301
separately	7300
i_say	7299
him	7298
christian_democratic_people's_party	7297
opposition	7296
very_important	7295
reduced	7294
next	7293
all_of_this	7292
50	7291
plan	7290
social	7289
other	7288
company	7287
financial	7286
in_it	7285
in	7284
government	7283
free	7282
value	7281
house	7280
device	7279
start	7278
together	7277
small	7276
meaning	7275
how_much	7274
pay	7273
presented_by	7272
earlier	7271
million_forints	7270
back	7269
decide	7268
first	7267
it	7266
main	7265
gábor	7264
need	7263
spoken	7262
motion	7261
handed_in	7260
compared	7259
castle	7258
deep	7257
fact	7256
obviously	7255
complete	7254
commission	7253
certainly	7252
contract	7251
report	7250
wish_this	7249
billion	7248
different	7247
operation	7246
month	7245
mentioned	7244
investment	7243
affect	7242
world	7241
minute	7240
will_be	7239
always	7238
school	7237
responsibility	7236
go	7235
opposition	7234
ms._president	7233
element	7232
zoltán	7231
alliance_of_free_democrats	7230
accept_this	7229
woman	7228
forint	7227
deal	7226
across	7225
par	7224
definitely	7223
yogi	7222
says	7221
governmental	7220
alexander	7219
bar	7218
platoon	7217
live	7216
price	7215
to_support	7214
majority	7213
high	7212
some	7211
show	7210
previous	7209
general	7208
deficit	7207
try	7206
each_other	7205
minority	7204
sure	7203
12	7202
at_least	7201
being	7200
life	7199
home	7198
7	7197
modern	7196
propose	7195
stay	7194
particularly	7193
allows	7192
exercise	7191
civil	7190
governing_party	7189
franciscan	7188
office	7187
needed	7186
much	7185
in	7184
moreover	7183
worker	7182
currently	7181
in	7180
million	7179
virtually	7178
citizen	7177
go	7176
serve	7175
many	7174
agenda	7173
city	7172
peter	7171
vote	7170
9	7169
rather	7168
agreement	7167
role	7166
common	7165
change	7164
prime_minister	7163
cost	7162
notary	7161
2010	7160
close	7159
party	7158
court	7157
time_frame	7156
union	7155
service	7154
young	7153
of	7152
representatives	7151
live	7150
national	7149
one_more_time	7148
condition	7147
affected	7146
so_much	7145
he_knew	7144
13	7143
safety	7142
ministry_state_secretary	7141
work	7140
at_all	7139
policy	7138
properly	7137
respect	7136
growth	7135
actually	7134
16	7133
set	7132
primarily	7131
topic	7130
lady	7129
garden	7128
against	7127
14	7126
effect	7125
border	7124
possibly	7123
following	7122
space	7121
too	7120
come	7119
it_could_be	7118
change	7117
conductor	7116
still	7115
local	7114
according_to_my	7113
then	7112
order	7111
of_course	7110
taking_into_account	7109
has	7108
serious	7107
worth	7106
pension	7105
citizen	7104
law_on	7103
cite	7102
abstentions	7101
competition	7100
party	7099
became	7098
part	7097
body	7096
working	7095
unified	7094
as	7093
income	7092
long	7091
seven	7090
worry	7089
choice	7088
region	7087
second	7086
george	7085
workplace	7084
succeeded	7083
a_lot_of	7082
cultural	7081
know	7080
11	7079
one	7078
year	7077
help	7076
advice	7075
inform	7074
from	7073
that_if	7072
can	7071
rap_out	7070
standing_orders	7069
correct	7068
sentence	7067
principle	7066
18	7065
union	7064
opposition_party	7063
burden	7062
hilarity	7061
similar	7060
one_thousand_forints	7059
hour	7058
thomas	7057
hard	7056
other	7055
market	7054
child	7053
charm	7052
occasion	7051
finally	7050
25	7049
back	7048
inasmuch	7047
signed	7046
county	7045
connecting	7044
test	7043
draft_bill	7042
interpellation	7041
so-called	7040
instead_of	7039
do	7038
bill_on	7037
clear	7036
last_year	7035
property	7034
introduction	7033
ever	7032
gold	7031
material	7030
authorities	7029
despite	7028
no_one	7027
democracy	7026
home	7025
wallet	7024
imre	7023
finally	7022
17	7021
bell_megkocogtatás	7020
mark	7019
so	7018
hungary	7017
more	7016
up	7015
environment	7014
so_much	7013
force	7012
make	7011
committee_rapporteur	7010
present	7009
thought	7008
where	7007
belongs_to	7006
before	7005
promise	7004
took	7003
told	7002
obviously	7001
fee	7000
hoist	6999
quite	6998
experience	6997
continuously	6996
andrew	6995
confident_entrusting	6994
obligatory	6993
will_do	6992
foreign	6991
furthermore	6990
hope	6989
again	6988
financing	6987
say	6986
outside	6985
item_no.	6984
any	6983
whether	6982
master	6981
control	6980
which	6979
last	6978
suitable	6977
hand	6976
considered	6975
concrete	6974
use	6973
decrease	6972
pensioner	6971
excessively	6970
third	6969
two-minute_comment	6968
basic	6967
education	6966
candidate	6965
series_follows	6964
the_politics_can_be_different	6963
consequence	6962
call	6961
earth	6960
draft	6959
come	6958
him	6957
population	6956
two_minutes	6955
on_the_one_hand	6954
diagnose	6953
reduction	6952
later_on	6951
create	6950
together	6949
2002	6948
four	6947
need	6946
implementation	6945
possible	6944
reconciliation	6943
credit	6942
said	6941
enjoin	6940
mayor	6939
fault	6938
access_to_reach	6937
community	6936
concept	6935
short	6934
eating	6933
become	6932
s	6931
performer	6930
find	6929
woman	6928
item	6927
in	6926
health	6925
control	6924
justifiable	6923
emphasize	6922
expenditure	6921
north_atlantic_treaty_organization	6920
parliamentary	6919
be_happy	6918
sector	6917
it_has_been	6916
amendment	6915
body	6914
married	6913
decree	6912
describes	6911
education	6910
do	6909
today	6908
europe	6907
opposition_came	6906
according_to_opinion	6905
product	6904
income	6903
all	6902
again	6901
though	6900
contractor	6899
commission_meeting	6898
emphasized	6897
hungarian_democratic_forum	6896
occurs	6895
