Word	Frequency
the	1347
the	1346
that	1345
this	1344
and	1343
no	1342
also	1341
one	1340
there_is	1339
which	1338
the_politics_can_be_different	1337
hungary	1336
tin	1335
and	1334
if	1333
but	1332
must	1331
will_be	1330
can	1329
we	1328
so	1327
government	1326
already	1325
which	1324
here	1323
may	1322
or	1321
just	1320
volt	1319
country	1318
weave	1317
president	1316
i	1315
because	1314
away	1313
very	1312
who	1311
more	1310
now	1309
tooth	1308
thanks	1307
who	1306
human	1305
so	1304
dog	1303
neither	1302
such	1301
think	1300
thank_you_very_much	1299
law	1298
as	1297
therefore	1296
year	1295
large	1294
in_turn	1293
question	1292
beer	1291
good	1290
but_also	1289
when	1288
proposal	1287
all	1286
business	1285
fidesz_hungarian_civic_union	1284
love	1283
respected	1282
do	1281
state	1280
state_secretary	1279
system	1278
because	1277
case	1276
e	1275
talk	1274
representative_co	1273
problem	1272
see	1271
so	1270
dr.	1269
or	1268
part	1267
not	1266
possibility	1265
other	1264
by	1263
more	1262
new	1261
european_union	1260
then	1259
what_kind_of	1258
on	1257
important	1256
will	1255
itself	1254
are	1253
otherwise	1252
bill	1251
applause	1250
should	1249
basis	1248
how	1247
for_example	1246
why	1245
there	1244
give	1243
target	1242
money	1241
one	1240
they	1239
where	1238
up	1237
law	1236
therefore	1235
state	1234
however	1233
time	1232
thing	1231
attention	1230
two	1229
be	1228
area	1227
virtually	1226
aid	1225
it_is	1224
will	1223
business	1222
work	1221
many	1220
point	1219
relationship	1218
debate	1217
really	1216
he	1215
answer	1214
hold	1213
gets	1212
whole	1211
representative	1210
tell	1209
for	1208
source	1207
percentage	1206
state	1205
support	1204
honorable_house	1203
tell	1202
to	1201
viewpoint	1200
honorable_national_assembly	1199
for	1198
today	1197
obviously	1196
national	1195
political	1194
budget	1193
same	1192
after	1191
stand	1190
therein	1189
own	1188
by	1187
some	1186
company	1185
exactly	1184
they	1183
different	1182
completely	1181
s	1180
another	1179
past	1178
buy	1177
to	1176
cost	1175
small	1174
understand	1173
between	1172
look	1171
andras_schiffer	1170
institution	1169
family	1168
just	1167
nothing	1166
on_this	1165
task	1164
deed	1163
interests	1162
i_want	1161
parliament	1160
wish	1159
amendment	1158
social	1157
namely	1156
mode	1155
commission	1154
gábor	1153
true	1152
speak	1151
present	1150
program	1149
number	1148
unfortunately	1147
not_only	1146
first	1145
economic	1144
well	1143
i_know	1142
solution	1141
few	1140
laws	1139
huf_billion	1138
society	1137
thousand	1136
interest	1135
minister	1134
without	1133
place	1132
mean	1131
day	1130
please	1129
but	1128
local	1127
juice	1126
process	1125
maybe	1124
mr.	1123
go	1122
interest_érd	1121
start	1120
something	1119
how_much	1118
live	1117
all	1116
honorable_members,	1115
under	1114
rule	1113
we_say	1112
ask	1111
need	1110
that_if	1109
organization	1108
device	1107
step	1106
data	1105
enough	1104
constitution	1103
against	1102
level	1101
direction	1100
bad	1099
it_could_be	1098
council	1097
as	1096
better_hungary_movement	1095
economy	1094
grant	1093
working	1092
hungarian_socialist_party	1091
governmental	1090
chairman	1089
parliament	1088
next_to	1087
naturally	1086
policy	1085
i	1084
regulation	1083
decision	1082
benedick	1081
10	1080
government	1079
future	1078
amendment	1077
everybody	1076
tax	1075
he_told	1074
at_all	1073
professional	1072
billion	1071
proceedings	1070
help	1069
before	1068
in	1067
and	1066
happened	1065
wage	1064
since	1063
the	1062
right	1061
let	1060
woman	1059
social	1058
small	1057
link	1056
related	1055
while	1054
next	1053
budgetary	1052
beat	1051
three	1050
current	1049
to_say	1048
20	1047
through	1046
measure	1045
example	1044
stephen	1043
complete	1042
compared	1041
serious	1040
basically	1039
congressman	1038
yes	1037
obviously	1036
indicate	1035
prime_minister	1034
all_of_this	1033
also	1032
castle	1031
someone	1030
certain	1029
much	1028
required	1027
individual	1026
do	1025
month	1024
significant	1023
end	1022
education	1021
opinion	1020
responsibility	1019
show	1018
go	1017
at_least	1016
wind	1015
so_much	1014
citizen	1013
activity	1012
reduced	1011
world	1010
finally	1009
t	1008
him	1007
child	1006
agree	1005
1	1004
worker	1003
international	1002
within	1001
happen	1000
cutting	999
sure	998
sallai	997
continue	996
a_lot_of	995
in_it	994
30	993
against	992
earlier	991
condition	990
basic	989
try	988
r	987
plan	986
pew	985
par	984
main	983
form	982
development	981
simply	980
2	979
earth	978
effect	977
possibly	976
back	975
workplace	974
former	973
need	972
amount	971
very_important	970
it	969
result	968
school	967
look	966
says	965
