Word	Frequency
the	3667
the	3666
that	3665
and	3664
this	3663
no	3662
also	3661
one	3660
there_is	3659
and	3658
which	3657
if	3656
must	3655
hungary	3654
but	3653
which	3652
hungarian_democratic_forum	3651
law	3650
or	3649
volt	3648
question	3647
government	3646
just	3645
so	3644
i	3643
because	3642
we	3641
already	3640
can	3639
weave	3638
will_be	3637
proposal	3636
away	3635
may	3634
commission	3633
more	3632
so	3631
e	3630
now	3629
here	3628
neither	3627
tooth	3626
who	3625
very	3624
country	3623
who	3622
thanks	3621
as	3620
dog	3619
respected	3618
year	3617
large	3616
president	3615
dr.	3614
but_also	3613
business	3612
because	3611
such	3610
bill	3609
good	3608
part	3607
all	3606
beer	3605
applause	3604
by	3603
case	3602
thank_you_very_much	3601
basis	3600
in_turn	3599
when	3598
state	3597
therefore	3596
do	3595
attention	3594
tin	3593
chairman	3592
please	3591
two	3590
point	3589
therefore	3588
other	3587
so	3586
new	3585
council	3584
itself	3583
debate	3582
think	3581
honorable_house	3580
love	3579
or	3578
not	3577
wish	3576
more	3575
aid	3574
then	3573
budget	3572
law	3571
but	3570
yes	3569
system	3568
on	3567
task	3566
amendment	3565
what_kind_of	3564
hold	3563
up	3562
parliament	3561
minister	3560
state_secretary	3559
support	3558
congressman	3557
area	3556
honorable_members,	3555
by	3554
answer	3553
think	3552
give	3551
after	3550
one	3549
today	3548
s	3547
vote	3546
mode	3545
target	3544
parliament	3543
should	3542
business	3541
problem	3540
political	3539
european_union	3538
percentage	3537
really	3536
work	3535
cost	3534
for	3533
economic	3532
thing	3531
representative_co	3530
time	3529
human	3528
maybe	3527
another	3526
to	3525
important	3524
representative	3523
amendments	3522
between	3521
therein	3520
state	3519
decision	3518
required	3517
interests	3516
vote	3515
for_example	3514
possibility	3513
1	3512
on_this	3511
many	3510
budgetary	3509
relationship	3508
will	3507
present	3506
solution	3505
otherwise	3504
some	3503
be	3502
are	3501
why	3500
amendment	3499
they	3498
naturally	3497
for	3496
yearly	3495
deed	3494
viewpoint	3493
institution	3492
all	3491
interest_érd	3490
gets	3489
there	3488
i	3487
without	3486
2	3485
mr.	3484
constitution	3483
whole	3482
number	3481
small	3480
where	3479
buy	3478
not_only	3477
program	3476
i_think	3475
see	3474
accept	3473
organization	3472
will	3471
10	3470
amount	3469
talk	3468
state	3467
local_government	3466
mean	3465
it_is	3464
hungarian_socialist_party	3463
national	3462
next_to	3461
tell	3460
stand	3459
speak	3458
side	3457
three	3456
opinion	3455
own	3454
i_want	3453
certain	3452
grant	3451
i_know	3450
tell	3449
understand	3448
solo	3447
same	3446
andrew	3445
happened	3444
live	3443
to	3442
money	3441
form	3440
well	3439
unfortunately	3438
past	3437
day	3436
deep	3435
activity	3434
namely	3433
however	3432
condition	3431
true	3430
broad	3429
how	3428
professional	3427
ask	3426
proceedings	3425
current	3424
t	3423
provisions	3422
indicate	3421
under	3420
rule	3419
individual	3418
place	3417
disease	3416
society	3415
20	3414
fidesz_hungarian_civic_union	3413
against	3412
minister	3411
cost	3410
agree	3409
ask	3408
standpoint	3407
need	3406
sanitary	3405
just	3404
diet	3403
the	3402
he	3401
process	3400
person	3399
further	3398
juice	3397
link	3396
aye	3395
ministry	3394
5	3393
completely	3392
3	3391
and	3390
measure	3389
30	3388
they	3387
huf_billion	3386
residence	3385
source	3384
acceptance	3383
related	3382
enough	3381
data	3380
result	3379
tax	3378
social	3377
beat	3376
honorable_members,	3375
government	3374
citizen	3373
name	3372
through	3371
motion	3370
refuse	3369
free	3368
within	3367
ms._president	3366
social	3365
house	3364
look	3363
laws	3362
everybody	3361
interest	3360
to_say	3359
regulation	3358
prime_minister	3357
as_well_as	3356
settlement	3355
seat	3354
as	3353
actually	3352
example	3351
parliamentary	3350
pew	3349
opposition	3348
contain	3347
honorable_national_assembly	3346
other	3345
intention	3344
majority	3343
child	3342
family	3341
let	3340
given	3339
something	3338
concerning	3337
bad	3336
opposition	3335
few	3334
4	3333
negotiation	3332
report	3331
supply	3330
international	3329
percent	3328
obligation	3327
frame	3326
yogi	3325
flag	3324
15	3323
end	3322
forint	3321
grant	3320
court	3319
50	3318
thousand	3317
following	3316
month	3315
vote	3314
stephen	3313
economy	3312
step	3311
that_if	3310
my_partner_representatives	3309
separately	3308
former	3307
happen	3306
not_against	3305
heard	3304
social_security	3303
level	3302
party	3301
general_debate	3300
decide	3299
since	3298
complete	3297
exercise	3296
he_told	3295
democracy	3294
before	3293
resolution	3292
measure	3291
much	3290
school	3289
6	3288
party	3287
castle	3286
together	3285
device	3284
40	3283
exactly	3282
propose	3281
start	3280
all_of_this	3279
first	3278
draft_bill	3277
par	3276
deal	3275
fact	3274
honorable_parliament	3273
to_support	3272
billion	3271
at_least	3270
next	3269
nothing	3268
serious	3267
deficit	3266
financial	3265
general	3264
obviously	3263
no.	3262
each_other	3261
possibly	3260
i_say	3259
wallet	3258
value	3257
year	3256
need	3255
back	3254
recommendation	3253
modern	3252
bar	3251
because	3250
how_much	3249
first	3248
principle	3247
protection	3246
group	3245
sure	3244
john	3243
alliance_of_free_democrats	3242
it_could_be	3241
million_forints	3240
opposition	3239
against	3238
which	3237
in_it	3236
look	3235
someone	3234
mentioned	3233
governing_party	3232
governmental	3231
office	3230
has	3229
8	3228
still	3227
seven	3226
property	3225
condition	3224
always	3223
particularly	3222
high	3221
in	3220
we_say	3219
choice	3218
meaning	3217
commission	3216
national	3215
handed_in	3214
more_than	3213
across	3212
him	3211
direction	3210
cost	3209
pay	3208
says	3207
cite	3206
currently	3205
it	3204
life	3203
according_to_opinion	3202
certainly	3201
affected	3200
accepts	3199
effect	3198
a_detailed_discussion	3197
earlier	3196
stay	3195
worry	3194
go	3193
excessively	3192
many	3191
of	3190
peter	3189
despite	3188
forum	3187
constitutional_court	3186
needed	3185
proper	3184
policy	3183
definitely	3182
space	3181
population	3180
world	3179
draft	3178
home	3177
under-secretary	3176
role	3175
in	3174
he	3173
future	3172
know	3171
environment	3170
right	3169
body	3168
some	3167
serious	3166
rather	3165
submitting	3164
affect	3163
sentence	3162
element	3161
platoon	3160
12	3159
out_of_this	3158
similar	3157
try	3156
show	3155
before	3154
reduced	3153
taking_into_account	3152
politician	3151
million	3150
change	3149
democrat	3148
about_this	3147
part	3146
consequence	3145
one	3144
income	3143
significant	3142
set	3141
emphasize	3140
foreign	3139
at_all	3138
7	3137
woman	3136
too	3135
he_knew	3134
common	3133
hard	3132
representing_mr.	3131
agenda	3130
having	3129
so_much	3128
interruption	3127
so-called	3126
plan	3125
price	3124
local	3123
change	3122
development	3121
compared	3120
close	3119
on	3118
mouth	3117
joseph	3116
service	3115
only	3114
second	3113
pension	3112
spoken	3111
representative	3110
also	3109
gold	3108
justifiable	3107
garden	3106
continue	3105
hate	3104
undertaking	3103
help	3102
in	3101
expenditure	3100
ancestor	3099
material	3098
say	3097
very_important	3096
advice	3095
long	3094
finally	3093
small	3092
opposition_party	3091
investment	3090
do	3089
minority	3088
