Word	Frequency
the	4148
the	4147
that	4146
this	4145
and	4144
no	4143
also	4142
one	4141
there_is	4140
which	4139
and	4138
which	4137
if	4136
must	4135
but	4134
law	4133
hungary	4132
weave	4131
volt	4130
so	4129
or	4128
chairman	4127
government	4126
question	4125
we	4124
proposal	4123
i	4122
because	4121
alliance_of_free_democrats	4120
now	4119
can	4118
just	4117
already	4116
so	4115
will_be	4114
may	4113
here	4112
more	4111
away	4110
who	4109
dog	4108
commission	4107
very	4106
e	4105
congressman	4104
who	4103
such	4102
neither	4101
as	4100
country	4099
year	4098
representative	4097
but_also	4096
tooth	4095
debate	4094
large	4093
bill	4092
point	4091
in_turn	4090
business	4089
part	4088
beer	4087
think	4086
dr.	4085
when	4084
good	4083
fidesz_hungarian_civic_union	4082
all	4081
love	4080
by	4079
because	4078
other	4077
president	4076
therefore	4075
applause	4074
tin	4073
parliament	4072
so	4071
basis	4070
do	4069
attention	4068
please	4067
mr.	4066
two	4065
state	4064
grant	4063
thanks	4062
case	4061
itself	4060
thank_you_very_much	4059
honorable_national_assembly	4058
business	4057
therefore	4056
new	4055
system	4054
or	4053
vote	4052
hungarian_socialist_party	4051
budget	4050
important	4049
problem	4048
amendment	4047
respected	4046
thing	4045
not	4044
hold	4043
wish	4042
yes	4041
support	4040
law	4039
vote	4038
aid	4037
then	4036
what_kind_of	4035
parliament	4034
more	4033
mode	4032
council	4031
one	4030
on	4029
european_union	4028
task	4027
but	4026
up	4025
naturally	4024
really	4023
are	4022
for	4021
give	4020
target	4019
area	4018
state_secretary	4017
therein	4016
time	4015
think	4014
answer	4013
political	4012
minister	4011
human	4010
relationship	4009
s	4008
will	4007
between	4006
cost	4005
by	4004
be	4003
where	4002
talk	4001
another	4000
see	3999
today	3998
honorable_house	3997
follow	3996
honorable_members,	3995
economic	3994
on_this	3993
after	3992
for_example	3991
free	3990
many	3989
to	3988
otherwise	3987
accept	3986
1	3985
work	3984
state	3983
viewpoint	3982
amendments	3981
budgetary	3980
interests	3979
decision	3978
speak	3977
there	3976
should	3975
required	3974
democracy	3973
possibility	3972
i_want	3971
solution	3970
