Word	Frequency
the_DET	5775
the_DET	5774
that_SCONJ	5773
and_CONJ	5772
this_PRON	5771
no_ADV	5770
also_CONJ	5769
one_DET	5768
there_is_SYM	5767
Congressman_NOUN	5766
weave_NOUN	5765
which_PRON	5764
and_PART	5763
tin_PRON	5762
which_PRON	5761
if_SCONJ	5760
must_SYM	5759
but_CONJ	5758
chairman_NOUN	5757
government_NOUN	5756
thank_you_very_much_NOUN	5755
Hungary_PROPN	5754
so_PRON	5753
can_SYM	5752
we_PRON	5751
law_NOUN	5750
or_CONJ	5749
now_ADV	5748
volt_SYM	5747
proposal_NOUN	5746
already_ADV	5745
I_PRON	5744
will_be_SYM	5743
question_NOUN	5742
Thanks_SYM	5741
because_SCONJ	5740
just_ADV	5739
who_PRON	5738
away_ADV	5737
Dr._INTJ	5736
more_ADV	5735
Honorable_Members,_NOUN	5734
Please_SYM	5733
so_CONJ	5732
may_SYM	5731
very_ADV	5730
e_PRON	5729
parliament_NOUN	5728
Hungarian_Socialist_Party_PROPN	5727
tooth_AUX	5726
neither_ADV	5725
commission_NOUN	5724
year_NOUN	5723
Fidesz_Hungarian_Civic_Union_NOUN	5722
dog_NOUN	5721
here_ADV	5720
Who_ADV	5719
President_ADJ	5718
because_CONJ	5717
beer_NOUN	5716
respected_ADJ	5715
in_turn_CONJ	5714
think_SYM	5713
point_ADV	5712
country_NOUN	5711
applause_NOUN	5710
vote_NOUN	5709
large_ADJ	5708
Mr._NOUN	5707
good_ADJ	5706
as_SCONJ	5705
but_also_CONJ	5704
Attention_NOUN	5703
representative_co_NOUN	5702
human_NOUN	5701
all_PRON	5700
vote_SYM	5699
love_SYM	5698
part_NOUN	5697
such_PRON	5696
State_Secretary_NOUN	5695
business_ADV	5694
bill_NOUN	5693
honorable_National_Assembly_NOUN	5692
by_ADP	5691
therefore_ADV	5690
basis_NOUN	5689
Group_NOUN	5688
representative_ADJ	5687
when_ADV	5686
system_NOUN	5685
so_CONJ	5684
do_SYM	5683
therefore_ADV	5682
possibility_NOUN	5681
debate_NOUN	5680
new_ADJ	5679
work_NOUN	5678
Minister_NOUN	5677
then_ADV	5676
aid_NOUN	5675
state_NOUN	5674
other_PRON	5673
case_NOUN	5672
wish_SYM	5671
more_NUM	5670
answer_NOUN	5669
two_NUM	5668
or_CONJ	5667
itself_PRON	5666
solo_ADJ	5665
Yes_INTJ	5664
council_NOUN	5663
support_SYM	5662
not_ADV	5661
budget_NOUN	5660
what_kind_of_PRON	5659
ask_SYM	5658
important_ADJ	5657
task_NOUN	5656
today_ADV	5655
amendment_NOUN	5654
sanitary_ADJ	5653
hold_SYM	5652
problem_NOUN	5651
aye_INTJ	5650
for_ADP	5649
grant_SYM	5648
law_NOUN	5647
supply_NOUN	5646
family_NOUN	5645
t_NOUN	5644
on_ADV	5643
give_SYM	5642
